top_k,max_depth,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tree_depth,n_leaves,n_features_used
200,None,60000,15000,0.9476,0.9294074074074075,0.6779661016949152,0.9066666666666666,0.775812892184826,0.9459256296296297,27,1252,200
200,20,60000,15000,0.9469333333333333,0.9287407407407408,0.6747765640516385,0.906,0.7734775184974388,0.9456876790123456,20,1150,200
200,10,60000,15000,0.94,0.9281481481481482,0.6401869158878505,0.9133333333333333,0.7527472527472527,0.9459707407407408,10,371,200
200,5,60000,15000,0.9152,0.8921481481481481,0.548264182895851,0.8633333333333333,0.6706369756602797,0.942797012345679,5,32,200
500,20,60000,15000,0.9507333333333333,0.9347037037037037,0.691880988401412,0.9146666666666666,0.7878265862761987,0.948626962962963,20,1084,500
500,None,60000,15000,0.9499333333333333,0.933962962962963,0.6879076768690416,0.914,0.7849985685657028,0.9501623456790124,29,1213,500
500,10,60000,15000,0.942,0.9313333333333333,0.6483050847457628,0.918,0.7599337748344371,0.9525408641975309,10,335,500
500,5,60000,15000,0.9184666666666667,0.891888888888889,0.5602435841670291,0.8586666666666667,0.6780731771518821,0.9416106666666667,5,32,500
1000,20,60000,15000,0.9545333333333333,0.935037037037037,0.7136886102403344,0.9106666666666666,0.8002343292325718,0.934016049382716,20,1003,1000
1000,None,60000,15000,0.9528666666666666,0.9341111111111111,0.7044868488911811,0.9106666666666666,0.7944169816807212,0.9488758518518519,33,1190,1000
1000,10,60000,15000,0.9416666666666667,0.9311481481481482,0.646782527007985,0.918,0.7588867456599614,0.9488878271604938,10,306,1000
1000,5,60000,15000,0.9187333333333333,0.8923333333333333,0.5611667392250762,0.8593333333333333,0.6789570713721359,0.9411747407407406,5,32,1000
