feature,importance
perm_android.permission.READ_PHONE_STATE,0.4310368002220976
intent_com.google.android.c2dm.intent.RECEIVE,0.10073700589330868
suspicious_Base64,0.06605092493878283
n_urls,0.05954484676281367
perm_android.permission.GET_TASKS,0.035001053773518
suspicious_getSubscriberId,0.03415121757403048
suspicious_getCellLocation,0.03186820073925677
n_api_calls,0.01770322838649761
n_activities,0.017130633995763735
suspicious_Ldalvik/system/PathClassLoader;,0.014892861235992448
suspicious_getSystemService,0.01446427468988702
intent_android.intent.action.PACKAGE_ADDED,0.012204782950802323
intent_android.net.conn.CONNECTIVITY_CHANGE,0.011674085244317449
n_permissions,0.01079057976580636
intent_com.inmobi.share.id,0.010549097456689471
suspicious_sendTextMessage,0.009799240994902758
perm_,0.00796642615618081
intent_com.google.firebase.INSTANCE_ID_EVENT,0.007914304990227935
perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.0074204125980122885
n_providers,0.007339051898579469
suspicious_getDeviceId,0.007307462333193482
perm_android.permission.SYSTEM_ALERT_WINDOW,0.005912968835527837
n_services,0.0053543185137379466
n_receivers,0.004424413890316267
perm_android.permission.UPDATE_APP_OPS_STATS,0.0037965679837647756
perm_com.google.android.c2dm.permission.RECEIVE,0.003510734094200781
perm_android.permission.WRITE_SETTINGS,0.003179297267246654
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,0.0031096560488782887
intent_android.intent.action.USER_PRESENT,0.0026566683920121914
perm_android.permission.VIBRATE,0.002636446659257855
