intent_com.google.android.gms.iid.InstanceID,intent_android.intent.action.ACTION_POWER_CONNECTED,perm_android.permission.BLUETOOTH_ADMIN,perm_android.permission.READ_PHONE_STATE,suspicious_getCellSignalStrength,suspicious_getCellLocation,perm_android.permission.BLUETOOTH,perm_android.permission.ACCESS_FINE_LOCATION,perm_android.permission.ACCESS_COARSE_LOCATION,intent_com.google.android.c2dm.intent.REGISTRATION,intent_android.intent.action.VIEW,n_receivers,n_permissions,perm_android.permission.FLASHLIGHT,intent_android.appwidget.action.APPWIDGET_UPDATE,intent_com.google.android.gms.analytics.ANALYTICS_DISPATCH,intent_android.appwidget.action.APPWIDGET_CONFIGURE,n_api_calls,perm_android.permission.GET_ACCOUNTS,intent_com.tappx.sdk.SILP,perm_android.permission.VIBRATE,intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION,intent_android.intent.action.ACTION_VIEW_DOWNLOADS,intent_android.intent.action.MEDIA_BUTTON,n_activities,n_urls,n_providers,n_services,n_used_permissions,intent_android.intent.action.DOWNLOAD_COMPLETE,label
0,0,0,1,0,0,0,1,1,0,1,1,40,0,0,0,0,36,1,0,1,0,0,0,95,54,0,0,11,0,0
1,0,0,1,0,0,0,1,1,1,1,16,47,0,0,0,0,21,1,0,1,0,0,0,43,61,1,34,10,0,0
1,0,0,1,0,0,0,1,1,1,1,4,18,0,0,0,0,26,1,0,0,0,0,0,138,175,2,10,10,0,0
0,0,0,0,0,0,0,0,0,1,1,2,9,0,0,0,0,5,0,0,1,0,0,0,17,50,0,2,4,0,0
0,0,0,1,0,0,0,1,1,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,3,6,1,0,4,0,0
0,0,0,1,0,0,0,0,0,0,0,8,29,0,0,0,0,33,0,0,1,0,0,0,7,35,4,12,13,0,0
0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,19,0,0,0,0,0,0,22,41,2,3,8,0,0
0,0,0,1,1,1,0,1,1,0,0,3,24,0,0,0,0,35,0,0,0,0,0,0,2,22,0,2,12,0,0
0,0,0,0,0,0,0,0,0,1,0,8,13,0,0,0,0,32,0,0,1,0,0,0,34,65,0,5,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,1,0,0,0,2,16,0,0,6,0,0
0,0,0,1,0,0,0,0,0,0,0,7,8,0,0,0,0,17,0,0,0,0,0,0,36,74,3,6,8,0,0
0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,1,3,2,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,5,33,0,0,9,0,0
0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,0,5,46,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,10,17,0,0,7,0,0
0,0,0,1,0,0,0,0,0,0,0,4,9,0,0,0,0,25,0,0,1,0,0,0,12,47,0,2,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,36,67,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,7,22,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,1,0,0,0,3,4,0,0,7,0,0
0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,0,1,23,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,8,9,0,0,1,0,41,0,0,0,0,0,0,30,184,5,17,16,0,0
0,1,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,21,0,0,0,0,0,0,2,14,3,8,9,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,23,0,0,0,0,0,0,4,41,3,4,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,23,36,1,0,8,0,0
0,0,1,0,0,0,1,0,0,1,0,6,10,0,0,0,0,26,0,0,0,0,0,0,28,18,1,8,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,6,4,1,0,7,0,0
0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,23,0,0,0,0,0,0,7,42,2,6,14,0,0
0,0,0,1,0,0,0,1,1,0,1,12,31,0,0,0,0,29,1,0,1,0,0,0,82,102,2,23,12,0,0
0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,15,0,0,0,0,0,0,12,37,1,3,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,18,33,1,2,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,1,2,0,0,8,0,0
0,0,1,1,0,0,1,1,0,1,1,4,25,0,0,0,0,57,1,0,1,0,0,0,64,205,0,7,15,1,0
0,1,0,1,0,1,0,1,1,0,0,12,30,0,0,0,0,47,0,0,1,0,0,0,21,53,0,11,15,1,0
0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,14,0,0,0,0,0,0,27,26,0,25,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,24,7,0,0,4,0,0
0,0,0,1,0,0,0,0,0,0,0,6,14,0,0,0,0,15,0,0,1,0,0,0,15,61,3,11,10,0,0
0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,5,13,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,5,31,0,0,7,0,0
0,0,0,0,0,0,0,1,1,0,1,2,7,0,0,0,0,31,0,0,0,0,0,0,7,17,3,0,12,1,0
0,0,0,0,0,0,0,0,0,0,1,12,11,1,1,0,1,32,0,0,1,1,1,1,64,202,5,16,11,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,17,14,0,0,5,0,0
1,0,0,1,0,0,0,0,0,0,1,1,12,0,0,0,0,15,1,0,1,0,0,0,5,54,2,5,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,1,2,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,3,27,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,18,0,0,1,0,0,0,4,23,0,6,7,0,0
0,0,0,0,0,0,0,0,0,0,0,4,12,0,1,0,1,19,0,0,1,0,0,0,30,46,2,8,10,0,0
0,0,0,0,1,1,0,0,0,0,0,1,6,0,0,0,0,30,0,0,0,0,0,0,13,33,0,2,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,0,0,0,0,0,0,9,32,0,0,8,0,0
0,0,0,0,1,1,0,0,0,0,0,1,6,0,0,0,0,45,0,0,0,0,0,0,13,25,1,5,16,0,0
0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,0,1,0,0,0,9,30,1,5,5,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,5,7,0,0,7,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,30,0,0,0,0,0,0,6,39,0,1,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,5,22,0,0,7,0,0
1,0,0,0,0,0,0,0,0,0,1,2,21,0,0,0,0,17,0,0,1,0,0,0,3,4,0,3,6,0,0
1,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,24,0,0,1,0,0,0,7,25,2,3,9,0,0
