intent_android_intent_action_BATTERY_CHANGED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_BATTERY_STATS,intent_android_intent_action_PACKAGE_INSTALL,suspicious_getCellSignalStrength,intent_android_intent_action_PACKAGE_ADDED,suspicious_getCellLocation,perm_android_permission_READ_LOGS,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_android_appwidget_action_APPWIDGET_UPDATE,intent_android_intent_action_BOOT_COMPLETED,intent_com_inmobi_share_id,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_android_vending_BILLING,n_api_calls,n_services,n_used_permissions,suspicious_getSimCountryIso,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,n_receivers,suspicious_Base64,suspicious_Cipher,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,18,6,9,0,1,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,16,5,8,0,0,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,20,8,10,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,20,8,10,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,1,20,6,10,0,1,0,4,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,19,5,6,1,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,15,6,6,0,0,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,19,7,7,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,5,6,0,0,0,3,1,1,0
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,0,0,1,0,20,6,12,0,0,1,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,19,5,9,1,1,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,4,11,0,1,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,8,7,0,1,0,5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,8,7,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,8,7,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,19,7,8,0,0,1,5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,19,7,8,0,0,1,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,17,8,10,0,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,17,5,9,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,10,7,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,19,7,7,1,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,19,8,8,1,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,18,6,8,0,0,1,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,19,6,9,1,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,10,10,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,21,4,10,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,21,4,10,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,18,8,7,0,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,23,7,9,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,7,7,0,0,0,5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,7,7,0,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,22,6,10,0,1,0,5,1,1,0
0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,1,0,0,1,0,18,8,10,0,0,1,8,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,21,6,11,0,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,10,9,0,1,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,22,5,9,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,14,7,6,0,0,0,5,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,15,2,7,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,21,6,8,1,0,0,5,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,15,2,7,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,15,7,7,0,0,1,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,17,4,7,1,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,16,7,7,1,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,20,2,8,1,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,20,9,9,0,0,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,21,10,9,1,0,1,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,20,11,11,0,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,20,8,9,1,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,3,8,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,18,3,7,0,0,0,7,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,20,4,9,0,0,0,5,1,1,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,5,9,1,0,0,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,21,4,9,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,1,1,17,10,11,0,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,19,10,9,1,0,0,7,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,8,7,0,0,0,6,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,20,3,9,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,21,11,9,1,0,0,6,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,6,9,0,1,0,3,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,20,3,9,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,20,11,11,0,0,0,6,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,1,17,6,7,1,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,17,11,8,0,1,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,3,8,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,13,6,7,1,0,0,7,1,1,0
