perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_android_intent_action_PACKAGE_ADDED,n_services,suspicious_Ldalvik_system_PathClassLoader_,n_permissions,n_api_calls,n_activities,n_receivers,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_system_bin_su,suspicious_Cipher,intent_com_google_vr_vrcore_ACTION_NONE,suspicious_Ldalvik_system_DexClassLoader_,n_providers,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_COARSE_UPDATES,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Base64,suspicious_getExternalStorageDirectory,n_urls,perm_android_permission_SET_WALLPAPER,intent_android_intent_action_MAIN,label
0,1,1,1,0,0,0,0,0,0,1,7,18,5,0,1,1,1,1,1,0,0,0,7,1,1,1,20,0,1,0
0,1,1,1,0,0,0,0,0,0,1,5,18,5,0,0,1,1,0,1,0,0,0,7,1,1,1,20,0,1,0
0,0,1,1,0,0,0,0,0,0,1,7,18,6,0,1,0,1,0,1,0,0,0,7,1,1,1,21,1,1,0
0,0,0,1,0,0,0,0,0,1,1,7,19,4,0,1,0,1,1,1,1,0,0,8,1,1,1,20,0,1,0
0,0,0,1,0,0,0,0,0,0,1,6,18,6,0,1,0,1,0,1,0,0,0,8,1,1,1,20,0,1,0
0,0,0,1,0,0,0,0,0,0,1,6,18,6,0,1,0,1,0,1,0,0,0,8,1,1,1,20,0,1,0
0,0,0,1,0,0,0,0,0,0,1,5,18,6,0,1,0,1,0,1,0,0,0,7,1,1,1,19,0,1,0
0,0,1,1,0,0,0,0,0,0,1,7,19,4,0,1,0,1,0,1,0,0,0,7,1,1,1,20,1,1,0
0,0,1,1,0,0,0,0,0,0,1,8,17,6,0,0,0,1,0,1,0,1,0,7,1,1,1,20,0,1,0
0,0,1,1,0,0,0,0,0,0,1,5,18,5,0,1,0,1,0,1,0,0,0,7,1,1,1,21,0,1,0
0,0,1,1,0,0,0,0,0,1,1,8,19,5,1,1,0,1,1,1,0,0,0,8,1,1,1,22,0,1,0
0,0,0,1,0,0,0,0,0,0,1,6,18,3,0,1,0,1,0,1,0,1,0,7,1,1,1,20,0,1,0
0,0,1,0,0,0,0,0,0,0,0,5,17,5,0,0,0,1,0,1,0,0,0,7,1,1,1,20,0,1,0
0,1,1,1,0,0,0,0,0,1,1,7,18,6,0,0,0,1,0,1,1,0,0,9,1,1,1,21,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,1
0,1,0,1,0,0,0,0,0,0,1,6,17,4,0,0,0,1,0,1,1,0,0,7,1,1,1,20,0,1,0
0,1,0,1,0,0,0,0,0,0,1,6,19,4,0,0,0,1,0,1,0,0,0,7,1,1,1,19,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,0
0,1,1,1,0,0,0,0,0,0,1,8,18,5,0,0,0,1,0,1,0,1,1,8,1,1,1,22,0,1,0
0,0,1,1,0,0,0,0,0,0,1,6,19,3,0,1,0,1,0,1,1,0,0,7,1,1,1,21,0,1,0
