perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_ADDED,n_urls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,perm_com_android_launcher_permission_READ_SETTINGS,n_api_calls,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_Base64,suspicious_getSystemService,intent_android_intent_action_USER_PRESENT,suspicious_Cipher,intent_cn_jpush_android_intent_PushService,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getDeviceId,intent_cn_jpush_android_intent_REGISTRATION,intent_cn_jpush_android_ui_PushActivity,intent_cn_jpush_android_intent_NOTIFICATION_OPENED,intent_cn_jpush_android_intent_MESSAGE_RECEIVED,intent_cn_jpush_android_intent_REGISTER,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED_PROXY,label
0,0,16,0,0,0,0,0,0,11,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,12,9,0,1,0,22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,13,11,0,1,0,21,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,10,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,10,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,10,9,0,1,0,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
1,1,17,1,0,1,1,1,1,12,10,1,1,1,28,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,21,0,0,0,1,0,0,10,9,1,1,1,26,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,19,0,0,0,0,1,1,10,10,1,1,1,28,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,17,0,0,0,0,1,1,10,10,1,1,1,28,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,19,10,0,1,0,17,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,12,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,5,10,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,19,1,0,0,0,0,0,18,12,1,1,0,27,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
1,1,16,0,0,0,0,0,0,7,7,1,1,1,21,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,16,0,0,0,0,0,0,10,9,1,1,1,26,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,10,9,1,1,1,27,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,13,11,0,0,0,28,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,17,0,0,0,0,0,0,6,8,1,1,1,28,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,12,1,1,0,0,0,0,9,7,1,0,0,19,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,15,8,0,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,21,1,1,1,0,0,0,11,12,1,1,0,30,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
