perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_providers,intent_android_intent_action_SEND,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,n_permissions,intent_android_intent_action_VIEW,perm_com_android_vending_BILLING,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,n_receivers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Cipher,n_api_calls,n_urls,n_services,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getSimCountryIso,perm_android_permission_SET_WALLPAPER,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_READ_EXTERNAL_STORAGE,n_activities,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getDeviceId,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getPackageInfo,label
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,31,0,6,1,1,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,32,0,6,1,0,0,0,0,20,0,1,1,1,1,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,13,30,0,6,1,0,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,13,30,0,6,0,1,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,30,0,6,1,1,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,13,32,1,6,1,0,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,13,30,1,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,30,0,5,1,0,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,34,0,6,1,0,0,0,0,19,0,1,1,1,1,1
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,14,32,0,7,1,0,1,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,18,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,32,0,7,1,1,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,16,31,0,7,0,1,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,30,0,6,1,0,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,30,0,7,1,1,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,14,31,0,4,0,0,1,0,0,20,0,0,0,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,13,32,1,6,1,0,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,33,0,5,0,0,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,29,0,7,1,1,0,0,0,21,0,1,1,1,1,0
0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,14,28,0,7,1,1,1,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,30,0,7,1,1,0,0,0,18,0,1,1,1,1,0
0,0,1,0,0,0,4,0,1,1,1,2,0,0,1,13,32,0,5,1,0,0,0,0,19,0,0,1,1,1,1
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,16,29,0,8,1,1,1,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,15,33,1,7,0,0,0,0,0,17,0,1,0,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,16,34,0,6,0,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,16,0,1,1,1,1,0
