perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_BOOT_COMPLETED,intent_com_google_android_c2dm_intent_RECEIVE,n_urls,n_used_permissions,n_activities,n_receivers,n_permissions,n_services,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_android_vending_INSTALL_REFERRER,suspicious_getDeviceId,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_VIBRATE,n_api_calls,perm_android_permission_ACCESS_NETWORK_STATE,perm_com_asus_email_permission_ACCESS_PROVIDER,intent_com_evernote_android_job_ADD_JOB_CREATOR,perm_android_permission_PREVENT_POWER_KEY,intent_com_excelliance_kxqp_action_SmtCntService,label
0,0,1,22,11,7,3,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,22,10,6,4,5,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,23,9,9,3,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,9,8,4,6,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,19,1,0,0,0,0,0
0,0,1,22,10,5,4,5,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,22,1,0,0,0,0,0
0,0,1,24,9,7,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,25,10,7,3,5,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,7,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,1
0,0,1,24,9,7,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,9,9,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,9,9,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0
0,0,1,23,10,6,3,7,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,7,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,8,4,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,21,1,0,0,0,0,0
0,0,1,23,9,5,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,9,6,4,5,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,6,3,5,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,10,6,4,5,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,22,1,0,0,0,0,0
0,0,1,21,9,8,4,6,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,9,6,5,6,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,19,1,0,0,0,0,0
0,0,1,25,9,7,3,5,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,21,9,8,3,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,23,9,9,3,6,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,21,1,0,0,0,0,1
0,0,1,24,9,6,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,23,9,6,3,6,5,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,21,1,0,0,0,0,0
0,0,1,24,9,6,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,10,7,3,6,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,22,1,0,0,0,0,0
0,0,1,24,9,6,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,6,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,10,5,4,7,3,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,20,1,0,0,0,0,0
0,0,1,25,10,5,3,5,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,10,4,3,6,4,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,24,9,5,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,9,4,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,9,4,4,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,23,9,9,3,5,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,10,4,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,23,8,5,4,5,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,20,1,0,0,0,0,0
0,0,1,24,10,4,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,0,23,11,6,1,5,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0
0,0,1,22,9,9,4,5,3,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,19,9,7,4,5,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,20,9,5,4,5,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,10,5,4,7,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,22,1,0,0,0,0,0
0,0,1,24,9,7,4,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,20,10,8,4,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,22,1,0,0,0,0,0
0,0,1,24,9,5,4,6,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,20,1,0,0,0,0,0
0,0,1,24,9,7,4,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,7,4,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,1
0,0,1,22,8,5,4,5,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,7,4,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,24,8,8,4,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,9,4,4,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,21,1,0,0,0,0,0
0,0,1,23,9,4,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,8,5,3,6,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,19,1,0,0,0,0,0
0,0,1,24,9,5,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0
0,0,1,24,9,5,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0
0,0,1,23,10,5,2,6,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,19,10,6,3,6,4,2,1,0,1,1,0,1,1,1,0,0,0,1,0,0,21,1,0,0,0,0,0
0,0,1,23,9,5,4,7,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,25,9,6,3,6,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,19,1,0,0,0,0,0
0,0,1,25,9,5,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0
0,0,1,24,10,6,3,6,5,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,22,1,0,0,0,0,0
0,0,1,22,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,25,9,5,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0
0,0,1,25,9,9,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
0,0,1,25,9,5,3,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0
0,0,1,22,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,22,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,0,22,9,6,1,5,2,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,21,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,24,9,9,4,6,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,21,10,5,4,8,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0
0,0,1,22,9,5,4,7,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,23,9,7,4,8,2,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,25,9,7,5,5,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,1
0,0,1,26,11,9,3,6,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,20,1,0,0,0,0,0
0,0,1,20,9,4,4,5,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,22,9,10,4,7,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,19,1,0,0,0,0,0
1,1,0,21,11,7,2,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,20,1,0,0,0,0,0
0,0,0,24,11,6,0,4,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,20,1,0,0,0,0,0
0,0,1,24,9,8,1,4,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,20,8,6,4,6,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,19,1,0,0,0,0,1
0,0,1,24,9,8,1,4,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,0,22,9,5,1,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,21,1,0,0,0,0,0
0,0,1,24,9,8,1,4,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0
0,0,1,25,9,8,3,7,3,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,19,1,0,0,0,0,0
0,0,1,24,9,8,1,4,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0
