n_urls,perm_android_permission_READ_PHONE_STATE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_sec_android_provider_badge_permission_READ,perm_android_permission_READ_APP_BADGE,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_com_oppo_launcher_permission_WRITE_SETTINGS,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,n_api_calls,intent_android_intent_action_MY_PACKAGE_REPLACED,n_used_permissions,suspicious_Base64,intent_android_intent_action_QUICKBOOT_POWERON,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getPackageInfo,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_me_everything_badger_permission_BADGE_COUNT_READ,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getExternalStorageDirectory,n_providers,suspicious_getDeviceId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_permissions,perm_com_android_launcher_permission_INSTALL_SHORTCUT,label
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,26,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,26,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,27,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,24,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,27,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,26,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,28,0,0
