intent_com_yandex_metrica_IMetricaService,intent_android_intent_action_PACKAGE_ADDED,suspicious_getCellLocation,intent_ACTION_TAPCORE_SYNC,suspicious_system_bin_su,suspicious_getCellSignalStrength,perm_android_permission_READ_PHONE_STATE,intent_ACTION_TAPCORE_MESSAGE,intent_android_intent_action_DATA_SMS_RECEIVED,suspicious_setWifiEnabled,intent_com_inmobi_share_id,perm_android_permission_SET_WALLPAPER,intent_android_intent_action_PACKAGE_INSTALL,n_providers,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getSubscriberId,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_com_samsung_android_providers_context_permission_WRITE_USE_APP_FEATURE_SURVEY,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_BROADCAST_STICKY,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_RECEIVE_SMS,n_services,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,n_activities,n_receivers,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,78,47,8,0
0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,6,0,0,0,1,75,48,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,1,79,51,6,0
0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,1,0,0,1,78,47,4,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,1,1,1,81,45,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,80,45,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,80,45,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,1,0,0,1,79,44,6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,0,0,1,78,48,6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,0,0,1,78,48,6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,0,0,1,77,47,6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,1,78,48,5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,1,78,48,5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,1,78,48,5,0
0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,10,1,0,0,1,80,50,4,0
