perm_android_permission_WRITE_SETTINGS,n_urls,perm_android_permission_GET_ACCOUNTS,suspicious_getSimCountryIso,n_api_calls,n_permissions,perm_android_permission_VIBRATE,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_READ_PHONE_STATE,n_receivers,n_used_permissions,n_services,intent_com_android_vending_INSTALL_REFERRER,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_vending_BILLING,n_activities,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_DexClassLoader_,label
0,48,0,0,25,11,1,1,0,4,13,5,1,4,1,1,1,1,0,0,1,1,0,1,12,1,0,0,1,1,0
0,48,0,0,24,12,1,1,0,3,10,4,1,4,1,1,1,1,1,0,1,0,0,1,13,1,0,0,1,1,0
0,47,0,0,25,10,1,1,0,4,15,6,1,3,1,1,1,1,1,0,1,0,0,0,10,1,0,1,1,1,0
0,47,0,0,25,10,1,1,0,4,15,6,1,3,1,1,1,1,1,0,1,0,0,0,10,1,0,1,1,1,1
0,48,0,1,25,10,0,1,1,4,12,4,1,1,1,1,1,1,1,1,1,0,0,1,12,1,0,0,1,1,0
0,47,0,0,24,13,1,1,0,3,15,5,1,3,1,1,1,1,0,1,1,1,0,0,11,1,0,0,1,1,1
0,49,0,0,24,9,1,1,0,3,14,4,1,2,1,1,0,0,1,0,1,0,0,0,14,1,0,0,1,1,0
0,47,0,0,27,12,0,1,0,4,14,6,1,4,1,1,0,0,0,0,1,1,0,0,10,1,0,1,1,0,0
0,47,0,0,27,12,0,1,0,3,12,7,1,3,1,1,1,1,1,1,1,1,0,1,14,1,0,1,1,1,0
0,47,0,0,27,12,0,1,0,3,12,7,1,3,1,1,1,1,1,1,1,1,0,1,14,1,0,1,1,1,0
