perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_PACKAGE_ADDED,n_urls,n_used_permissions,n_api_calls,suspicious_getPackageInfo,suspicious_getSystemService,suspicious_Base64,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getDeviceId,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getExternalStorageDirectory,intent_com_google_firebase_MESSAGING_EVENT,suspicious_Ljava_lang_System___load,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_android_vending_INSTALL_REFERRER,suspicious_Cipher,perm_com_android_launcher_permission_READ_SETTINGS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_receivers,perm_android_permission_WRITE_SETTINGS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,label
0,0,1,1,1,11,0,0,6,2,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0
0,0,1,1,1,11,0,0,6,2,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0
0,0,1,1,0,10,1,0,3,3,4,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0
0,0,0,1,0,9,1,0,3,3,4,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,3,0,0,0
0,0,1,0,0,10,0,0,4,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,8,0,0,6,3,3,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,3,0,0,0
0,0,0,0,0,8,0,0,6,3,3,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,3,0,0,0
0,0,0,0,0,8,0,0,6,3,3,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,3,0,0,0
0,0,1,1,0,9,0,1,8,3,3,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0
0,0,0,0,0,10,0,0,7,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0
