intent_com_inmobi_share_id,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getCellSignalStrength,perm_android_permission_READ_PHONE_STATE,suspicious_system_bin_su,suspicious_getSubscriberId,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_tencent_smtt_tbs_video_PLAY,perm_android_permission_READ_SETTINGS,perm_android_permission_WRITE_APN_SETTINGS,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_CHANGED,perm_android_permission_READ_OWNER_DATA,intent_com_tencent_mm_plugin_openapi_Intent_ACTION_REFRESH_WXAPP,perm_ACCESS_WIFI_STATE,intent_aspire_iap_SMS_DELIVERED_ACTION,intent_aspire_iap_SMS_SEND_ACTIOIN,n_urls,n_api_calls,n_permissions,n_activities,n_used_permissions,n_receivers,perm_android_permission_DEVICE_POWER,perm_android_permission_WRITE_OWNER_DATA,perm_android_permission_EXPAND_STATUS_BAR,intent_com_baidu_android_pushservice_action_RECEIVE,intent_com_baidu_android_pushservice_action_MESSAGE,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,12,4,9,4,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,17,7,9,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,13,9,11,6,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,8,5,6,6,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,15,3,18,3,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141,13,12,6,4,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,19,7,12,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,19,8,12,8,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,19,5,5,7,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,15,13,12,7,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,19,8,13,9,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,20,1,16,7,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,13,11,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,18,8,12,7,4,0,0,0,0,0,0
