n_used_permissions,intent_android_intent_action_VIEW,perm_android_permission_SYSTEM_ALERT_WINDOW,n_api_calls,perm_android_permission_GET_TASKS,n_permissions,suspicious_getExternalStorageDirectory,perm_android_permission_CAMERA,n_services,n_activities,perm_android_permission_READ_PHONE_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_receivers,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getCellSignalStrength,n_providers,suspicious_getCellLocation,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_WRITE_SETTINGS,suspicious_getSimCountryIso,perm_android_permission_SET_WALLPAPER,suspicious_Ldalvik_system_DexClassLoader_,suspicious_getDeviceId,n_urls,intent_android_intent_action_SEARCH,suspicious_getPackageInfo,suspicious_Base64,label
9,0,0,27,0,4,1,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,33,0,1,1,0
9,0,0,27,0,4,1,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,33,0,1,1,0
9,0,0,27,0,4,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,34,0,1,1,0
9,0,0,27,0,4,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,34,0,1,1,0
9,0,0,27,0,4,1,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,1,1,0
9,0,0,27,0,4,1,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,1,1,0
9,0,0,27,0,4,1,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,1,1,0
9,0,0,27,0,4,1,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,1,1,0
10,0,0,28,0,4,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,0,1,1,0
9,0,0,27,0,3,1,0,0,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,33,0,1,1,0
9,0,0,27,0,4,1,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,34,0,1,1,0
9,0,0,28,0,5,1,0,0,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,34,0,1,1,0
10,0,0,28,0,5,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,33,0,1,1,0
10,0,0,28,0,3,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,1,1,0
10,0,0,27,0,4,1,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,1,1,0
9,0,0,26,0,3,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,33,0,1,1,0
9,0,0,26,0,5,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,32,0,1,1,0
10,0,0,28,0,5,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,34,0,1,1,0
8,0,0,26,0,3,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,1,1,0
10,0,0,27,0,5,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,32,0,1,1,0
9,0,0,28,0,3,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33,0,1,1,0
9,0,0,28,0,5,1,0,0,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,34,0,1,1,0
8,0,0,27,0,4,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,1,1,0
9,0,0,26,0,5,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,33,0,1,1,0
8,0,0,27,0,4,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,1,1,0
9,0,0,28,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33,0,1,1,0
8,0,0,27,0,4,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,1,1,0
9,0,0,26,0,5,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,33,0,1,1,0
8,0,0,27,0,4,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,1,1,0
8,0,0,27,0,4,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,1,1,0
8,0,0,27,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,1,1,0
