perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_READ_PHONE_STATE,suspicious_system_bin_su,n_providers,intent_com_google_vr_vrcore_ACTION_NONE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,n_api_calls,suspicious_getDeviceId,n_used_permissions,n_urls,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_SET_WALLPAPER,n_receivers,perm_android_permission_CAMERA,n_services,perm_android_permission_VIBRATE,perm_android_permission_SET_WALLPAPER_HINTS,suspicious_adb_enabled,n_permissions,n_activities,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_RECEIVE_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Cipher,perm_android_permission_DIAGNOSTIC,label
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
