feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
n_api_calls,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.GET_TASKS,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.READ_PHONE_STATE,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
n_urls,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
n_used_permissions,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_com.android.launcher.permission.INSTALL_SHORTCUT,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.CHANGE_WIFI_STATE,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.SEND_SMS,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
n_permissions,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
suspicious_getSubscriberId,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
intent_android.intent.action.USER_PRESENT,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.CHANGE_NETWORK_STATE,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
perm_android.permission.WRITE_SETTINGS,5,0.0,0.0,500.5,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",0.0,0.0,0.0,0.0,0.0
