intent_com_yandex_metrica_IMetricaService,suspicious_getCellSignalStrength,intent_com_inmobi_share_id,intent_cn_jpush_android_intent_REGISTRATION,intent_cn_jpush_android_ui_PushActivity,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED,intent_cn_jpush_android_intent_CONNECTION,intent_cn_jpush_android_intent_NOTIFICATION_OPENED,intent_cn_jpush_android_intent_MESSAGE_RECEIVED,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED_PROXY,intent_cn_jpush_android_intent_REGISTER,intent_cn_jpush_android_intent_PushService,intent_cn_jpush_android_intent_REPORT,intent_cn_jpush_android_intent_PUSH_TIME,intent_cryopiggy_start,suspicious_getCellLocation,intent_android_intent_action_USER_PRESENT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_RECEIVE_USER_PRESENT,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,perm_com_android_vending_BILLING,perm_android_permission_MANAGE_ACCOUNTS,perm_android_permission_SET_WALLPAPER,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_REMOVED,n_activities,n_used_permissions,n_api_calls,n_urls,intent_com_excelliance_kxqp_action_swpmain,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,27,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,26,76,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,25,71,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,26,76,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,27,74,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,10,24,71,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,23,71,0,0
