suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_RESTART_PACKAGES,suspicious_getCellLocation,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_READ_SMS,suspicious_sendTextMessage,suspicious_getWifiState,n_permissions,intent_com_umeng_message_message_handler_action,intent_com_baidu_android_pushservice_action_media_CLICK,intent_com_umeng_messge_registercallback_action,intent_org_android_agoo_client_MessageReceiverService,intent_com_baidu_android_pushservice_action_BIND_SYNC,intent_com_baidu_android_pushservice_action_METHOD,perm_android_permission_WRITE_SMS,intent_com_baidu_android_pushservice_action_notification_SHOW,intent_com_baidu_android_pushservice_action_PUSH_SERVICE,intent_org_agoo_android_intent_action_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,intent_com_android_vending_INSTALL_REFERRER,suspicious_Ldalvik_system_PathClassLoader_,n_api_calls,intent_com_umeng_message_disablecallback_action,intent_com_taobao_accs_intent_action_START_FROM_AGOO,label
0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0
0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0
0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0
0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0
1,1,0,1,1,1,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0
0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,26,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,22,0,0,1
0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,37,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0
