perm_android_permission_SET_WALLPAPER,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,intent_com_yandex_metrica_IMetricaService,suspicious_getSubscriberId,suspicious_system_bin_su,perm_android_permission_ACCESS_COARSE_UPDATES,intent_android_intent_action_DATA_SMS_RECEIVED,n_api_calls,n_providers,n_services,perm_android_permission_READ_LOGS,intent_com_inmobi_share_id,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_firebase_MESSAGING_EVENT,suspicious_getCellSignalStrength,intent_com_xiaomi_push_PING_TIMER,intent_com_xiaomi_mipush_ERROR,intent_com_xiaomi_mipush_RECEIVE_MESSAGE,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_WRITE_SETTINGS,n_activities,n_used_permissions,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,label
0,1,0,0,1,0,0,0,25,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,9,1,0,0,0
0,0,0,0,0,1,0,0,25,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,43,11,1,1,0,0
0,0,0,0,0,0,0,0,27,3,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,45,9,1,1,0,1
0,0,0,0,0,0,0,0,26,3,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,43,10,1,0,1,0
0,1,1,1,1,1,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,0,1,0,0
0,0,0,0,0,0,0,0,22,3,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,46,9,1,0,0,1
0,1,0,0,0,0,0,0,27,1,8,0,1,1,0,1,0,1,1,0,0,0,0,0,0,40,11,1,0,0,0
0,0,0,0,0,0,0,0,26,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,49,13,1,0,0,0
0,1,1,1,0,1,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,1,0,0
0,0,0,0,0,0,0,0,28,4,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,41,13,1,0,1,0
0,0,0,0,0,0,0,0,26,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,7,1,0,0,0
0,0,0,0,1,0,0,0,21,1,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,44,9,1,0,0,0
0,0,0,0,0,1,0,0,21,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,9,0,0,0,0
0,0,0,0,0,0,0,0,23,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38,10,1,0,0,0
0,0,0,0,0,0,0,0,27,1,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,10,1,0,0,0
0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,1,0,1
0,0,0,0,0,1,0,0,22,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39,9,1,0,1,0
0,0,0,0,0,1,0,0,32,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,43,11,1,0,0,0
0,0,0,0,0,0,0,0,19,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,42,8,1,0,0,0
0,1,0,0,0,0,0,0,29,1,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,43,13,1,0,0,0
0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,1,0,0
0,1,0,0,1,0,0,0,28,4,9,0,0,1,0,1,1,1,0,0,0,0,0,0,0,47,12,1,0,1,0
0,0,0,0,0,0,0,0,27,1,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,49,11,1,0,1,0
0,0,0,0,0,0,0,0,24,4,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,49,13,1,1,1,0
0,1,1,0,1,1,0,0,22,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,9,0,1,0,0
0,0,0,0,0,0,0,0,21,1,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,9,1,0,0,0
0,0,0,0,0,0,0,0,27,3,7,0,0,1,0,1,1,1,0,0,0,0,0,0,0,40,11,1,1,0,0
0,1,0,1,0,1,0,0,23,1,8,0,0,1,0,1,0,1,1,0,0,0,0,0,0,41,10,0,0,1,0
0,1,0,1,0,1,0,0,23,1,8,0,0,1,0,1,0,1,1,0,0,0,0,0,0,41,10,0,0,1,1
0,0,0,0,0,1,0,0,21,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,9,1,0,0,0
0,0,0,0,0,1,0,0,20,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,46,9,0,0,0,0
0,0,0,0,1,0,0,0,20,2,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,47,7,1,0,0,0
0,0,0,0,0,0,0,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,11,0,0,0,0
0,0,0,0,0,0,0,0,20,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39,11,1,0,1,0
0,1,0,0,1,0,0,0,27,5,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,10,1,1,1,0
0,0,0,0,0,0,0,0,20,3,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,46,10,1,0,1,0
0,0,0,0,0,1,0,0,21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0,0
0,1,0,0,0,0,0,0,23,6,8,0,1,1,0,1,0,1,1,0,0,0,0,0,0,39,9,1,0,0,0
