intent_com_gridappsinc_launcher_theme_apk_action,intent_com_gtp_nextlauncher_theme,intent_com_lge_launcher2_THEME,intent_com_phonemetra_turbo_launcher_icons_ACTION_PICK_ICON,n_api_calls,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_WRITE_SETTINGS,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,perm_android_permission_SET_WALLPAPER_HINTS,intent_android_intent_action_BATTERY_CHANGED,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_UPDATES,intent_com_sina_weibo_sdk_action_ACTION_SDK_REQ_ACTIVITY,perm_android_permission_GET_TASKS,perm_android_permission_SET_WALLPAPER,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_sendTextMessage,intent_aspire_iap_SMS_DELIVERED_ACTION,intent_android_provider_Telephony_SMS_RECEIVED,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,intent_aspire_iap_SMS_SEND_ACTIOIN,n_permissions,suspicious_getWifiState,n_activities,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_FINE_LOCATION,n_urls,label
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,63,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,63,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,63,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,1,0,60,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,1,0,60,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,1,0,60,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,1,0,62,1
0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,1,0,64,0
0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,1,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,1,0,62,1
0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,12,1,0,62,0
0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,14,1,0,61,0
0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,15,1,1,64,0
0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,1,0,63,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,1,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,15,0,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,1,0,61,0
0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,16,1,0,63,0
0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,16,1,0,63,0
0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,62,1
0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,16,1,0,63,0
0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,66,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,61,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,64,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,61,0
0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,1,0,66,0
0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,1,0,66,0
0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,1,0,61,0
