perm_android_permission_GET_TASKS,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_RESTART_PACKAGES,intent_android_intent_action_USER_PRESENT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_PACKAGE_REMOVED,n_urls,n_api_calls,suspicious_Base64,suspicious_getExternalStorageDirectory,suspicious_getPackageInfo,n_used_permissions,suspicious_Cipher,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getDeviceId,perm_android_permission_READ_LOGS,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getSystemService,perm_android_permission_READ_PHONE_STATE,intent_com_igexin_sdk_action_refreshls,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___load,perm_android_permission_SEND_SMS,intent_android_intent_action_MEDIA_MOUNTED,perm_android_permission_BROADCAST_STICKY,label
0,4,0,0,0,0,0,0,0,0,28,13,1,1,1,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
0,7,0,0,1,0,0,0,0,0,36,18,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,6,0,0,1,0,0,0,0,0,32,15,1,1,1,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,24,16,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,6,0,0,1,0,0,0,0,0,22,20,1,1,1,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,54,13,1,1,1,6,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,17,0,0,0,0,0,0,0,0,43,10,1,1,1,6,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,4,0,0,0,0,0,0,0,0,26,13,1,1,1,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,32,12,1,1,1,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,34,14,1,1,1,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,36,15,1,1,1,6,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
1,30,1,1,1,1,0,1,1,1,10,20,1,1,1,8,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0
0,11,0,0,1,0,0,0,0,0,25,20,1,1,1,9,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
