perm_android_permission_GET_ACCOUNTS,perm_android_permission_ACCESS_COARSE_LOCATION,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,intent_com_google_android_gms_measurement_UPLOAD,perm_android_permission_VIBRATE,n_permissions,n_activities,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_ACCESS_FINE_LOCATION,n_used_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,n_api_calls,n_providers,n_receivers,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ldalvik_system_PathClassLoader_,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___load,intent_android_intent_action_VIEW,suspicious_Ljava_lang_System___loadLibrary,n_urls,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getExternalStorageDirectory,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_ACCESS_NETWORK_STATE,intent_android_intent_action_MAIN,label
0,0,0,0,1,10,12,1,0,12,1,8,14,3,3,1,1,1,1,1,1,0,0,0,42,1,1,0,1,1,1
0,0,0,0,1,10,12,1,0,12,1,8,14,3,3,1,1,1,1,1,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,12,1,8,14,3,3,1,1,1,1,1,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,12,1,8,14,3,3,1,1,1,1,1,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,11,1,8,13,3,3,1,1,1,1,1,1,1,0,1,43,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,11,1,8,13,3,3,1,1,1,1,1,1,1,0,1,43,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,11,1,8,13,3,3,1,1,1,1,1,1,1,0,1,43,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,11,1,8,13,5,3,1,1,1,1,1,1,0,0,0,44,1,1,0,1,1,1
0,0,0,0,1,11,13,1,0,11,1,8,13,6,3,1,1,1,1,1,1,1,0,1,44,1,1,0,1,1,0
0,0,0,0,1,11,13,1,0,11,1,8,13,6,3,1,1,1,1,1,1,1,0,1,44,1,1,0,1,1,0
0,0,0,0,1,11,13,1,0,11,1,8,13,6,3,1,1,1,1,1,1,1,0,1,44,1,1,0,1,1,0
0,0,0,0,1,10,12,1,0,9,1,9,11,3,3,1,1,1,1,1,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,9,12,1,0,9,1,9,14,5,3,1,1,1,1,1,1,1,1,1,43,1,1,0,1,1,0
0,1,0,0,1,12,14,1,1,9,1,9,11,3,3,1,1,1,1,1,1,0,0,0,40,1,1,0,1,1,0
0,1,0,0,1,12,14,1,1,9,1,9,11,3,3,1,1,1,1,1,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,9,13,0,0,9,1,5,15,6,4,0,1,1,0,1,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,10,1,8,18,1,4,1,1,1,1,0,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,8,9,0,0,9,1,5,15,4,3,0,1,1,1,1,1,0,0,0,43,1,1,0,1,1,0
0,1,0,0,1,10,9,0,0,9,1,8,11,4,4,0,1,1,1,1,0,0,1,0,43,1,1,0,1,1,0
0,1,0,0,0,9,12,0,1,7,1,6,15,3,3,0,1,1,1,1,1,0,1,0,43,1,1,0,1,1,0
0,0,0,0,1,11,12,1,0,9,1,5,11,3,5,1,1,1,0,1,0,0,1,0,41,1,1,0,1,1,0
0,0,0,0,1,8,12,0,0,9,1,8,12,1,3,1,1,1,1,0,1,1,0,1,46,1,1,0,1,1,1
0,0,0,0,1,8,12,0,0,9,1,8,12,1,3,1,1,1,1,0,1,1,0,1,46,1,1,0,1,1,0
0,0,0,0,0,9,14,0,0,9,1,7,18,5,4,0,1,1,0,1,1,0,1,0,42,1,1,0,1,1,0
0,0,0,0,0,8,8,0,0,9,1,5,15,4,3,0,1,1,1,1,1,0,0,0,42,1,1,0,1,1,0
0,0,1,1,0,8,10,0,0,10,1,7,18,1,3,1,0,0,1,0,0,0,1,0,42,1,1,1,1,1,0
0,0,0,0,0,9,11,0,0,9,1,8,15,3,4,1,1,1,0,1,1,1,0,1,47,1,1,0,1,1,0
0,0,0,0,0,9,11,1,0,8,1,7,12,2,4,1,1,1,0,1,0,0,0,0,46,1,1,0,1,1,0
0,0,0,0,0,8,15,0,0,7,1,7,16,2,3,1,1,1,1,1,1,0,0,0,43,1,1,0,1,1,0
0,0,0,0,0,9,11,0,0,7,1,7,16,1,4,1,1,1,1,0,1,1,0,1,40,1,1,0,1,1,0
0,0,0,0,0,10,10,0,0,7,1,6,13,5,3,1,1,1,0,1,1,0,0,0,41,1,1,0,1,1,0
0,0,0,0,0,7,12,0,0,9,1,5,15,4,3,0,1,1,1,1,1,0,0,0,38,1,1,0,1,1,1
0,0,0,0,0,10,15,0,0,9,1,5,16,5,3,1,1,1,0,1,1,1,1,1,43,1,1,0,1,1,0
0,0,0,0,0,7,12,0,0,9,1,5,14,3,3,0,1,1,1,1,1,1,1,1,46,1,1,0,1,1,0
0,0,0,0,0,8,15,0,0,7,1,7,13,2,5,1,1,1,0,1,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,7,13,0,0,9,0,4,12,2,3,0,1,1,0,1,0,0,0,0,43,1,1,0,1,1,0
0,0,0,0,1,6,9,0,0,11,0,7,15,4,5,1,1,1,0,1,0,1,0,1,45,1,1,0,1,1,0
0,0,0,0,1,13,8,0,1,10,0,6,15,4,4,0,1,1,1,1,0,0,1,0,41,1,1,0,1,1,0
0,0,0,0,0,7,8,0,0,10,1,6,13,2,4,1,1,1,0,1,1,0,0,0,45,1,1,0,1,1,1
0,0,1,0,0,9,9,0,0,9,1,8,10,1,5,1,1,1,1,0,1,0,1,0,41,1,1,0,1,1,0
0,0,0,0,0,11,10,0,0,7,1,8,13,2,4,1,1,1,1,0,1,1,0,1,39,1,1,0,1,1,0
0,0,0,0,1,9,14,0,0,7,1,9,13,5,3,1,1,1,1,1,0,1,0,1,45,1,1,0,1,1,0
0,0,0,0,0,9,9,0,0,10,1,9,18,1,3,1,1,1,1,0,1,1,0,1,45,1,1,0,1,1,0
0,0,0,0,0,9,9,0,0,10,1,9,18,1,3,1,1,1,1,0,1,1,0,1,45,1,1,0,1,1,0
0,0,0,0,1,10,16,0,0,11,0,11,12,4,3,1,1,1,1,1,0,0,0,0,38,1,1,0,1,1,0
0,0,0,0,1,11,15,1,0,8,1,5,15,3,1,0,1,0,0,0,1,1,1,1,43,0,1,0,1,1,0
0,0,1,1,0,8,14,1,0,7,1,9,16,1,4,1,0,0,1,0,1,0,1,0,40,1,1,1,1,1,1
0,1,0,0,1,10,8,0,1,10,0,5,11,4,4,0,1,1,0,1,0,1,0,1,44,1,1,0,1,1,0
0,0,0,0,0,10,15,0,0,6,1,8,12,4,3,1,1,1,1,1,1,0,1,0,43,1,1,0,1,1,0
0,0,0,0,1,9,9,0,0,8,1,8,12,1,4,1,1,1,1,0,1,1,0,1,46,1,1,0,1,1,0
0,0,0,0,0,9,12,0,0,10,1,6,19,6,3,1,1,1,1,1,1,1,0,1,45,1,1,0,1,1,1
0,1,0,0,0,10,13,0,1,9,1,4,16,5,3,0,1,1,0,1,1,0,1,0,46,1,1,0,1,1,0
0,0,0,1,0,8,10,0,0,7,1,8,17,2,4,1,0,0,1,0,0,1,0,1,43,1,1,1,1,1,0
0,0,0,0,0,7,7,0,0,10,1,6,13,2,4,1,1,1,0,1,1,0,0,0,45,1,1,0,1,1,0
0,0,0,0,0,8,10,1,0,9,1,8,19,1,6,1,1,1,1,0,1,0,0,0,42,1,1,1,1,1,0
0,0,0,0,0,8,14,0,0,9,1,6,19,1,4,1,1,1,1,0,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,6,13,0,0,9,0,7,10,2,4,1,1,1,0,1,0,0,0,0,39,1,1,0,1,1,0
1,0,0,0,0,10,14,1,0,6,1,7,12,4,3,1,1,1,1,1,1,0,0,0,39,1,0,0,1,1,0
0,0,0,0,0,9,13,0,0,9,1,6,20,1,3,1,1,1,1,0,1,0,0,0,41,1,1,0,1,1,0
1,0,0,0,0,11,10,1,0,10,1,11,19,4,6,1,1,1,1,1,0,0,0,0,43,1,1,0,1,1,0
0,0,0,0,0,7,8,0,0,10,1,7,16,4,2,0,1,1,0,1,1,0,1,0,38,0,1,0,1,1,0
0,0,0,0,0,9,14,0,0,7,1,5,18,3,4,1,1,1,1,0,1,0,0,0,43,1,1,0,1,1,0
0,0,0,0,0,5,10,0,0,9,0,6,11,4,3,1,1,1,0,1,0,0,0,0,44,1,1,0,1,1,0
0,0,0,0,0,6,15,0,0,9,0,8,12,3,3,1,1,1,1,1,0,0,0,0,46,1,1,0,1,1,0
0,0,0,0,0,11,16,1,0,7,1,6,13,3,4,1,1,1,0,1,1,1,1,1,43,1,1,0,1,1,0
0,1,0,0,0,12,15,1,1,8,1,12,14,1,3,0,0,0,0,0,1,0,0,0,43,1,1,0,1,1,0
0,0,1,0,1,7,14,1,0,11,0,5,19,1,4,1,1,1,0,0,0,1,1,1,43,1,1,1,1,1,0
0,0,0,0,0,9,11,1,0,8,1,3,13,1,4,1,1,1,0,0,1,1,0,1,39,1,1,0,1,1,0
0,0,0,0,0,8,13,0,0,11,1,6,20,3,5,1,1,1,1,1,0,0,0,0,39,1,1,0,1,1,0
0,0,1,0,1,8,14,0,0,7,0,7,18,1,4,1,1,1,1,0,0,0,0,0,41,1,1,1,1,1,0
0,0,0,0,0,15,13,0,0,10,1,6,16,3,6,0,1,1,0,1,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,9,7,0,0,10,1,4,11,4,4,0,1,1,0,1,1,0,0,0,41,1,1,0,1,1,0
0,1,0,1,0,10,13,0,0,8,1,4,18,2,3,1,0,0,0,0,1,1,0,0,42,1,1,1,1,1,0
0,0,1,1,0,12,9,0,0,9,1,9,18,1,4,1,0,0,1,0,0,1,1,1,44,1,1,1,1,1,0
0,0,0,0,1,11,14,1,1,8,1,4,15,3,5,1,1,1,0,1,0,1,0,1,46,1,1,0,1,1,0
0,0,0,1,1,14,9,0,0,9,1,8,17,1,4,1,0,0,1,0,1,1,0,1,40,1,1,1,1,1,0
0,0,0,0,0,6,10,0,0,9,0,7,10,3,5,0,1,1,1,1,0,0,0,0,39,1,1,0,1,1,0
0,0,1,1,0,8,14,0,0,7,1,7,18,1,3,1,0,0,1,0,1,0,1,0,43,1,1,1,1,1,0
0,0,0,0,0,10,12,0,0,6,1,4,12,2,3,1,1,1,0,1,1,1,0,1,41,1,1,0,1,1,0
0,0,1,1,0,8,14,0,0,7,1,7,18,1,3,1,0,0,1,0,1,0,1,0,43,1,1,1,1,1,0
0,0,0,0,0,8,10,0,0,11,1,7,21,2,3,1,1,1,1,1,1,1,0,1,42,1,1,0,1,1,0
0,0,0,0,0,9,17,1,0,8,1,10,13,1,4,0,0,0,0,0,1,0,0,0,43,1,1,0,1,1,0
0,1,0,0,0,9,13,0,0,6,1,9,13,4,4,1,1,1,1,1,1,0,1,0,38,1,1,0,1,1,0
0,0,0,0,1,8,13,1,0,10,0,8,18,4,5,0,1,1,1,1,0,1,1,1,37,1,1,0,1,1,0
0,0,0,0,1,7,16,0,0,8,0,6,17,1,3,1,1,1,1,0,0,1,0,1,42,1,1,0,1,1,0
0,0,1,1,0,5,10,0,0,9,0,7,17,1,3,1,0,0,1,0,0,0,1,0,40,1,1,1,1,1,0
0,0,1,1,0,5,10,0,0,9,0,7,17,1,3,1,0,0,1,0,0,0,1,0,40,1,1,1,1,1,0
0,1,1,0,1,10,10,0,1,10,1,8,20,2,6,1,1,1,1,0,0,1,0,1,44,1,1,0,1,1,0
0,0,0,0,0,7,15,0,0,6,1,7,12,4,3,1,1,1,0,1,1,1,0,1,41,1,1,0,1,1,0
0,0,0,0,0,6,9,0,0,8,1,5,14,4,2,0,1,1,0,1,1,0,0,0,39,0,1,0,1,1,0
0,0,0,0,0,8,10,0,0,7,1,6,13,4,4,1,1,1,0,0,0,1,1,1,38,1,1,0,1,1,0
0,0,0,0,1,8,14,0,0,8,1,3,12,2,4,1,1,1,0,0,0,1,1,1,40,1,1,1,1,1,0
1,0,0,0,0,8,15,1,0,6,1,6,14,2,2,0,1,0,0,0,0,0,0,0,44,1,1,1,1,1,0
0,0,0,0,0,6,13,0,0,8,1,5,11,1,2,0,1,1,0,0,0,0,0,0,42,0,1,0,1,1,0
0,0,1,0,0,8,12,0,0,6,1,7,13,1,5,1,1,1,1,0,0,0,1,0,39,1,1,1,1,1,1
0,0,0,0,0,6,8,0,0,9,0,5,17,3,3,1,1,1,0,1,0,0,0,0,43,1,1,0,1,1,0
0,0,0,1,1,8,8,1,0,9,0,5,17,1,5,1,1,1,0,0,0,1,0,1,40,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,8,1,4,18,3,3,1,1,1,0,1,1,0,0,0,45,1,1,0,1,1,0
0,0,1,0,0,12,18,0,0,9,1,7,15,3,4,1,1,1,1,1,1,1,0,1,45,1,1,0,1,1,0
0,0,0,0,0,9,10,0,0,11,1,4,20,3,3,1,1,1,0,1,1,1,0,1,40,1,1,0,1,1,1
0,0,0,0,0,9,10,0,0,11,1,4,20,3,3,1,1,1,0,1,1,1,0,1,40,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,7,1,4,10,4,3,1,1,1,0,1,1,0,0,0,43,1,1,0,1,1,0
0,0,0,0,0,10,14,0,0,6,1,4,14,2,3,1,1,1,0,0,1,1,0,1,40,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,7,1,4,10,4,3,1,1,1,0,1,1,0,0,0,43,1,1,0,1,1,0
0,1,1,1,0,8,8,1,1,7,0,9,16,1,4,1,0,0,1,0,0,0,1,0,40,1,1,1,1,1,0
0,0,1,1,0,10,8,0,0,9,1,7,19,1,3,1,0,0,1,0,1,0,1,0,44,1,1,1,1,1,1
1,0,0,0,0,8,15,0,0,9,0,6,19,1,4,1,1,1,1,0,1,0,0,0,45,1,1,0,1,1,0
0,0,1,1,0,5,12,0,0,7,0,9,16,1,4,1,0,0,1,0,0,0,1,0,42,1,1,1,1,1,0
0,0,0,0,0,10,15,1,0,9,1,6,19,4,3,1,1,1,1,0,1,1,0,1,46,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,7,1,4,10,4,3,1,1,1,0,1,1,0,0,0,43,1,1,0,1,1,0
0,0,0,1,0,6,9,0,0,9,0,5,17,1,4,1,0,0,1,0,0,0,1,0,43,1,1,1,1,1,0
0,0,0,1,0,9,9,1,0,7,1,5,17,1,2,0,0,0,0,0,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,7,10,0,0,9,0,7,19,4,3,1,1,1,1,1,0,0,1,0,46,1,1,0,1,1,0
0,0,0,1,0,10,13,1,1,6,1,5,15,1,4,1,0,0,0,0,0,1,0,1,41,1,1,1,1,1,0
0,0,1,1,0,5,11,0,0,7,0,9,16,1,4,1,0,0,1,0,0,0,1,0,42,1,1,1,1,1,0
0,0,1,0,0,11,15,1,0,8,1,10,15,1,8,1,1,1,1,0,1,1,1,1,42,1,1,1,1,1,0
0,0,0,0,1,13,15,0,0,11,1,7,19,6,3,1,1,1,1,1,0,1,0,1,39,1,1,0,1,1,0
0,0,1,0,0,11,15,1,0,8,1,10,15,1,8,1,1,1,1,0,1,1,1,1,42,1,1,1,1,1,0
0,0,0,0,0,7,10,0,0,9,1,6,15,4,5,1,1,1,0,1,1,0,0,0,36,1,1,0,1,1,0
0,0,0,0,1,9,10,0,0,8,1,4,9,4,4,1,1,1,0,1,0,0,0,0,44,1,1,0,1,1,0
0,0,0,0,1,10,9,0,0,8,1,6,17,4,3,1,1,1,1,1,1,1,1,1,47,1,1,0,1,1,0
0,0,0,0,0,5,11,0,0,7,0,4,14,3,3,0,1,1,1,1,0,0,0,0,41,1,1,0,1,1,0
0,0,0,0,0,9,17,1,0,7,1,8,15,5,3,1,1,1,0,1,1,1,0,1,45,1,1,0,1,1,0
0,0,0,0,0,9,16,0,0,7,1,6,13,4,4,1,1,1,0,1,1,1,0,1,38,1,1,0,1,1,1
0,0,1,1,1,6,8,0,0,8,0,9,17,1,4,1,0,0,1,0,0,0,1,0,42,1,1,1,1,1,0
0,0,0,0,0,8,9,0,0,7,1,5,12,3,4,1,1,1,0,0,0,1,0,1,45,1,1,0,1,1,1
0,0,0,0,0,8,13,1,0,7,0,5,9,3,3,0,1,1,1,1,0,1,0,1,43,1,1,0,1,1,0
0,0,0,0,0,9,10,1,0,9,1,4,19,2,6,1,1,1,0,0,1,1,0,1,42,1,1,1,1,1,0
0,0,0,0,0,8,14,0,0,7,1,8,10,3,4,1,1,1,1,1,0,1,1,1,38,1,1,0,1,1,1
0,0,0,0,0,6,12,0,0,7,1,7,18,2,6,1,1,1,1,0,0,0,0,0,42,1,1,0,1,1,0
0,0,0,0,0,11,17,1,0,7,1,6,14,4,4,1,1,1,0,1,1,1,1,1,43,1,1,0,1,1,0
0,0,1,1,1,6,10,0,0,6,0,8,15,1,4,1,0,1,1,0,0,0,1,0,44,1,1,1,1,1,0
0,0,0,0,1,7,10,1,0,11,0,7,12,4,4,1,1,1,0,1,0,0,1,0,35,1,1,0,1,1,0
0,0,0,0,1,6,13,0,0,10,0,5,16,3,3,1,1,1,0,1,0,0,1,0,36,1,1,0,1,1,0
0,0,0,0,0,9,12,0,0,7,1,4,13,3,3,1,1,1,0,1,1,0,1,0,37,1,1,0,1,1,0
0,0,0,0,0,10,16,1,0,7,1,6,15,1,5,1,1,1,0,0,1,0,0,0,44,1,1,0,1,1,0
0,0,0,1,1,12,13,1,0,6,1,7,15,1,5,1,0,1,1,0,0,0,0,0,46,1,1,1,1,1,0
0,0,0,0,0,9,18,0,0,9,1,5,16,5,3,1,1,1,0,1,1,1,1,1,43,1,1,0,1,1,0
0,0,1,0,0,9,15,0,0,7,1,10,13,3,6,1,1,1,1,0,1,1,1,1,46,1,1,0,1,1,0
0,0,0,1,1,14,9,0,0,9,1,8,17,1,4,1,0,0,1,0,1,1,0,1,38,1,1,1,1,1,0
0,0,0,0,1,9,7,1,0,7,1,5,16,2,5,1,1,1,0,0,1,1,0,1,43,1,1,1,1,1,0
0,1,0,0,0,10,10,1,1,6,1,8,10,1,4,1,1,1,1,1,0,0,0,0,45,1,1,0,1,1,0
0,0,0,0,0,8,11,1,0,9,0,3,19,1,3,1,1,1,0,0,0,0,0,0,41,1,1,0,1,1,0
0,1,0,0,0,11,12,1,0,9,1,4,10,3,4,1,1,1,0,1,0,0,0,0,37,1,1,0,1,1,0
0,0,0,1,1,14,9,0,0,9,1,8,17,1,4,1,0,0,1,0,1,1,0,1,38,1,1,1,1,1,0
0,0,0,0,0,7,9,0,0,9,0,4,19,4,3,1,1,1,0,1,0,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,6,11,0,0,11,0,8,20,2,3,1,1,1,1,1,0,1,0,1,38,1,1,0,1,1,0
0,0,1,1,0,7,11,0,0,5,1,7,12,1,3,1,0,0,1,0,1,0,1,0,42,1,1,1,1,1,0
0,1,1,0,0,11,9,0,1,7,1,8,12,1,7,1,1,1,1,0,0,1,1,1,41,1,1,0,1,1,0
0,0,0,0,0,8,11,0,0,9,1,4,10,4,3,1,1,1,0,1,1,0,0,0,37,1,1,0,1,1,0
0,0,0,1,0,11,8,0,0,8,1,5,18,1,3,1,0,0,1,0,1,1,1,1,43,1,1,1,1,1,0
0,0,0,0,1,9,13,0,0,6,1,6,12,3,3,0,1,1,1,1,1,1,0,1,37,1,1,0,1,1,0
0,0,1,1,0,9,7,1,0,6,1,9,14,2,4,1,0,0,1,0,0,0,1,0,41,1,1,1,1,1,0
0,0,0,0,0,8,12,1,0,10,0,4,19,1,1,0,1,0,0,1,0,1,0,1,40,0,1,0,1,1,0
0,0,0,0,0,8,10,1,0,9,0,3,19,1,3,1,1,1,0,0,0,0,0,0,42,1,1,0,1,1,0
0,1,1,1,0,10,14,0,1,5,1,10,13,1,4,1,0,0,1,0,1,0,1,0,41,1,1,1,1,1,0
0,0,1,0,0,8,8,0,0,8,1,5,19,4,3,1,1,1,0,1,1,1,0,1,42,1,1,0,1,1,0
0,0,0,0,1,10,11,1,0,12,1,8,21,4,6,1,1,1,1,1,0,1,1,1,45,1,1,0,1,1,1
0,1,0,0,0,11,14,0,0,11,1,4,21,3,3,1,1,1,0,1,1,1,0,1,42,1,1,0,1,1,1
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,0
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,0
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,0
0,0,1,1,0,9,16,1,0,7,1,9,19,2,4,1,0,0,1,0,1,0,1,0,42,1,1,1,1,1,0
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,1
0,0,0,0,0,8,11,0,0,7,0,7,9,3,6,1,1,1,0,1,0,0,1,0,40,1,1,0,1,1,0
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,0
0,0,0,0,0,5,8,0,0,10,0,6,19,3,3,1,1,1,1,1,0,0,1,0,42,1,1,0,1,1,1
0,0,0,0,0,9,18,0,0,10,1,6,17,6,3,0,1,1,1,1,0,0,0,0,45,1,1,0,1,1,0
1,0,0,0,1,11,15,1,0,6,1,5,15,1,2,0,0,1,0,0,0,1,1,1,44,1,1,1,1,1,0
0,0,1,1,0,8,10,0,0,5,1,7,12,1,3,1,0,0,1,0,1,0,1,0,40,1,1,1,1,1,0
0,0,0,0,0,5,8,0,0,7,0,6,15,3,3,1,1,1,1,1,0,0,0,0,44,1,1,0,1,1,0
0,0,0,0,1,7,14,1,0,8,1,5,11,0,2,0,0,0,0,0,0,0,0,0,45,0,1,0,1,1,0
0,0,0,0,1,10,13,0,0,9,0,3,20,2,4,1,1,1,0,0,1,0,0,0,42,1,1,0,1,1,0
0,0,0,0,1,8,9,1,0,9,0,7,10,2,3,0,1,1,1,1,0,0,0,0,36,1,1,0,1,1,0
0,0,0,0,0,5,11,0,0,8,0,3,14,4,3,0,1,1,0,0,0,0,0,0,40,1,1,0,1,1,0
0,0,1,1,0,8,12,1,0,9,1,9,21,1,4,1,0,0,1,0,1,0,1,0,44,1,1,1,1,1,0
0,0,0,0,0,5,16,0,0,10,0,9,14,2,3,1,1,1,1,1,0,0,0,0,47,1,1,0,1,1,0
0,0,0,0,1,9,16,0,0,6,0,11,12,3,4,1,1,1,1,1,0,1,0,1,44,1,1,0,1,1,0
0,0,0,0,0,8,10,1,1,9,0,4,12,1,3,0,1,1,0,1,0,0,1,0,37,0,1,0,1,1,1
1,0,0,0,0,9,10,1,0,8,1,3,18,1,2,0,1,0,0,0,0,0,0,0,44,1,1,1,1,1,0
0,0,0,0,0,7,8,0,0,9,1,9,19,2,3,1,1,1,1,1,1,0,0,0,46,1,1,0,1,1,0
0,0,0,0,1,10,7,1,0,11,1,6,20,2,4,1,1,1,0,1,0,0,0,0,39,1,1,0,1,1,0
0,0,1,1,0,8,8,0,0,6,1,11,14,1,4,1,0,0,1,0,1,0,1,0,43,1,1,1,1,1,0
0,1,0,0,0,10,6,1,0,6,1,8,13,2,4,1,1,1,1,0,0,0,0,0,42,1,1,0,1,1,0
1,0,0,1,1,10,12,0,0,6,1,4,14,1,6,0,0,1,0,0,0,0,0,0,42,1,1,1,1,1,0
0,0,0,0,0,7,10,0,0,9,1,4,15,3,3,1,1,1,0,1,0,0,1,0,36,1,1,0,1,1,0
0,0,0,0,0,9,8,1,0,10,1,4,20,4,4,1,1,1,0,1,1,1,0,1,43,1,1,0,1,1,0
0,0,0,0,0,8,6,0,0,8,1,5,15,3,4,1,1,1,0,1,1,1,0,1,39,1,1,0,1,1,0
0,0,0,0,0,9,16,0,0,8,1,6,14,7,7,0,1,1,0,1,1,1,1,1,41,1,1,1,1,1,1
0,0,0,0,1,11,14,1,0,9,1,4,16,2,4,0,1,1,0,1,1,0,1,0,48,0,1,0,1,1,0
0,1,0,0,1,16,13,0,1,9,0,6,18,2,4,1,1,1,0,1,0,0,0,0,42,1,1,0,1,1,0
0,0,0,0,0,8,8,0,0,6,1,5,14,1,4,1,1,1,1,0,1,1,0,1,44,1,1,1,1,1,0
0,0,1,1,0,9,9,1,0,7,1,3,15,1,1,0,0,0,0,0,1,0,0,0,41,0,1,0,1,1,0
0,0,0,0,0,7,8,0,0,11,1,4,20,3,3,1,1,1,0,1,1,0,0,0,41,1,1,0,1,1,0
0,0,0,0,1,12,11,1,0,7,1,12,12,2,3,1,1,1,1,1,1,1,1,1,37,1,1,0,1,1,0
1,0,0,0,0,10,12,0,0,9,1,8,22,2,3,1,1,1,1,1,1,0,0,0,40,1,1,0,1,1,0
0,0,0,0,0,11,11,0,0,6,1,5,12,2,5,1,1,1,0,0,1,1,0,1,46,1,1,0,1,1,0
0,0,1,1,0,12,14,0,0,8,1,10,19,1,6,1,0,0,1,0,1,0,1,0,43,1,1,1,1,1,0
0,0,0,0,0,6,12,1,0,6,0,6,12,3,4,0,1,1,0,0,0,1,0,1,39,1,1,0,1,1,0
0,0,0,0,0,6,11,1,0,11,0,6,20,1,4,1,1,1,1,0,0,0,0,0,38,1,1,0,1,1,0
0,0,0,0,0,5,10,1,0,7,1,9,16,2,1,0,1,0,0,0,0,0,0,0,39,0,1,0,1,1,0
1,1,1,0,0,13,11,1,1,7,1,12,14,2,7,1,1,1,1,0,1,0,1,0,40,1,1,0,1,1,0
0,0,0,0,1,6,13,0,0,10,0,10,19,1,4,1,1,1,1,0,0,0,0,0,47,1,1,0,1,1,0
