intent_com_baidu_location_service_v2_2,perm_com_android_launcher_permission_WRITE_SETTINGS,intent_com_dzbook_service_PerpareDataService,perm_com_android_launcher3_permission_READ_SETTINGS,intent_com_igexin_sdk_action_pushmanager,perm_android_permission_WRITE_SETTINGS,intent_com_igexin_sdk_action_7fjUl2Z3LH6xYy7NQK4ni4,intent_com_igexin_sdk_action_64kVIzqls49c7TJxrBbWG4,perm_com_android_launcher_permission_READ_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_launcher2_permission_READ_SETTINGS,intent_com_igexin_sdk_action_refreshls,suspicious_getWifiState,n_api_calls,n_permissions,perm_android_permission_ACCESS_DOWNLOAD_MANAGER,perm_android_permission_RECEIVE_MMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_system_bin_su,perm_android_permission_ACCESS_SUPERUSER,suspicious_getSubscriberId,perm_android_permission_RECORD_VIDEO,perm_android_permission_UPDATE_APP_OPS_STATS,perm_com_google_android_c2dm_permission_RECEIVE,perm_ANDROID_PERMISSION_WRITE_APN_SETTINGS,n_receivers,perm_android_permission_WRITE_SMS,n_providers,suspicious_getCellLocation,label
0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,1,0,0,0,0,0,0,1,0,10,0,5,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,41,30,0,0,0,1,0,0,1,0,0,0,0,6,0,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,33,27,0,0,1,0,1,0,1,0,0,1,0,5,0,7,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,0,0,1,0,0,0,0,0,0,1,0,12,0,8,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,30,27,0,0,1,1,0,0,1,0,0,1,0,8,0,5,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,29,26,0,0,1,0,0,0,0,0,0,1,0,19,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,0,0,1,0,0,0,0,0,0,1,0,11,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,0,0,1,1,0,0,0,0,0,1,0,13,0,6,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,38,23,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,43,31,0,0,1,0,1,0,1,0,0,1,0,6,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,1,0,0,0,0,0,0,1,0,11,0,5,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,39,41,0,0,1,0,0,0,0,0,0,1,0,17,1,8,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,41,27,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,36,20,0,0,1,0,0,0,0,0,0,1,0,5,0,2,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,31,33,0,0,0,1,0,0,1,0,0,0,0,15,0,2,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,39,36,0,0,1,1,1,0,1,0,0,1,0,11,0,8,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,30,28,0,0,1,0,0,0,1,0,0,1,0,11,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,0,0,1,0,0,0,0,0,0,1,0,8,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,0,0,1,0,0,0,0,0,0,1,0,5,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,29,35,0,0,1,0,0,0,1,0,0,1,0,22,0,7,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,0,0,1,0,0,0,0,0,0,1,0,13,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,0,0,1,0,0,0,0,0,0,1,0,18,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,24,44,0,0,1,0,0,0,0,0,0,1,0,8,1,17,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0,0,1,0,0,0,0,0,0,1,0,5,0,5,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1,50,28,0,0,0,1,1,0,1,0,0,0,1,3,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,44,24,0,0,0,1,1,0,1,0,0,0,0,4,0,4,1,0
0,1,0,0,0,1,0,0,1,1,0,0,1,53,36,0,0,0,1,1,0,1,0,0,0,0,3,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,34,34,0,0,1,0,0,0,0,0,0,1,0,4,0,2,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1,25,33,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,40,27,1,0,0,1,1,0,1,0,0,1,0,4,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,0,0,1,0,0,0,0,0,0,1,0,10,0,3,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,51,26,0,0,0,1,1,0,1,0,0,0,1,4,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0,41,33,0,0,0,1,0,0,1,0,0,0,0,6,0,3,1,0
0,0,0,0,0,1,0,0,1,1,0,0,0,31,33,0,0,0,1,0,0,1,0,0,0,0,4,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,58,20,0,0,1,0,0,0,1,0,0,1,0,7,0,4,1,0
0,0,0,0,0,1,0,0,0,1,0,0,0,38,25,0,0,1,0,0,0,1,0,0,1,0,21,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,1,0,1,0,0,0,0,1,0,9,0,11,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1,50,26,0,0,0,1,1,0,1,0,0,0,1,4,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,28,19,0,0,1,0,0,0,0,0,0,1,0,12,0,9,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,42,33,0,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,46,29,0,0,1,1,0,0,1,0,0,1,0,4,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,21,22,0,0,1,0,1,0,0,0,0,1,0,10,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,1,0,0,0,0,0,0,1,0,7,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,0,0,1,0,0,0,1,0,0,1,0,10,0,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,0,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,34,32,0,0,0,1,1,0,1,0,0,0,0,8,0,7,1,0
0,0,0,0,0,1,0,0,1,0,0,0,1,44,39,0,0,0,1,0,0,1,0,0,1,0,10,0,2,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,42,24,0,0,0,1,1,0,1,0,0,0,0,4,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0
0,1,0,0,0,1,0,0,1,1,0,0,0,44,22,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,38,28,0,0,0,1,1,0,1,0,0,0,1,3,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,18,34,0,0,1,0,0,0,0,0,0,1,0,7,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,24,15,0,0,1,0,0,0,0,0,0,1,0,8,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,1,0,0,0,0,1,0,1,0,10,0,8,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,44,31,0,0,0,1,1,0,1,1,0,0,0,3,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,59,30,0,0,0,1,1,0,1,0,0,0,0,10,0,0,1,0
