intent_ACTION_TAPCORE_MESSAGE,perm_android_permission_ACCESS_SUPERUSER,perm_com_android_launcher_permission_WRITE_SETTINGS,intent_ACTION_TAPCORE_SYNC,intent_com_inmobi_share_id,intent_com_yandex_metrica_IMetricaService,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_CHINAMOBILE_OMS_GAME,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_READ_PHONE_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,n_api_calls,n_activities,n_permissions,perm_android_permission_BROADCAST_STICKY,n_urls,suspicious_Ljava_lang_Runtime___exec,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_SEND_SMS,suspicious_Ldalvik_system_DexClassLoader_,label
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22,67,7,0,13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22,67,7,0,13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,69,10,0,15,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,66,4,0,15,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,4,0,12,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,20,71,10,0,9,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,61,6,0,8,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,62,6,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,65,13,0,14,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,23,62,8,0,8,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,24,68,5,0,17,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,22,64,13,0,11,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,65,9,0,14,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,22,65,6,0,21,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,69,8,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,64,9,0,16,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,72,5,0,18,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,22,63,13,0,11,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,23,64,15,0,15,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,71,6,0,17,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23,61,10,0,6,0,0,0,0,0,0,0
