perm_android_permission_SEND_SMS,perm_android_permission_READ_SETTINGS,perm_android_permission_WRITE_SMS,intent_android_intent_action_USER_PRESENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_CONFIGURATION,intent_android_intent_action_BATTERY_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_net_wifi_supplicant_CONNECTION_CHANGE,suspicious_getSubscriberId,perm_android_permission_BROADCAST_STICKY,perm_com_sec_android_provider_badge_permission_READ,perm_com_sec_android_provider_badge_permission_WRITE,perm_android_permission_READ_SMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_RECEIVE_SMS,perm_android_permission_READ_INTERNAL_STORAGE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,n_permissions,suspicious_getCellLocation,perm_android_permission_WRITE_SETTINGS,perm_android_permission_WRITE_INTERNAL_STORAGE,perm_android_permission_INTERACT_ACROSS_USERS_FULL,n_api_calls,intent_android_net_wifi_STATE_CHANGE,perm_android_permission_UPDATE_APP_OPS_STATS,label
1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,111,1,1,0,0,35,1,0,0
1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,111,1,1,0,0,35,1,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,109,1,1,0,0,55,0,0,0
0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0,41,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,0,1,0,0,13,1,0,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,103,0,1,0,0,47,1,0,1
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,103,0,1,0,0,47,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,31,0,0,0
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,89,0,1,0,0,46,1,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,73,1,1,0,0,39,0,0,0
0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,88,1,1,0,0,24,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,81,0,1,0,0,12,0,0,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,105,0,1,0,0,49,1,0,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,73,0,1,0,0,47,1,0,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,73,0,1,0,0,47,1,0,0
0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0,1,0,0,24,1,0,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,79,0,1,0,0,48,1,0,0
0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,89,0,1,0,1,11,0,1,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0,0,0,64,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,73,1,0,0,0,25,0,0,0
0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,92,1,1,0,0,32,0,0,0
1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,76,1,1,0,0,17,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,63,1,1,0,0,32,0,0,1
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,39,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,39,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,39,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,39,0,0,0
