perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,suspicious_getSubscriberId,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_REMOVED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SEND_SMS,perm_android_permission_WRITE_SETTINGS,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_sec_android_provider_badge_permission_READ,perm_android_permission_READ_SMS,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_com_oppo_launcher_permission_WRITE_SETTINGS,perm_me_everything_badger_permission_BADGE_COUNT_READ,label
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
