intent_android_intent_action_USER_PRESENT,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getSubscriberId,intent_com_adroid_SERVICE,perm_android_permission_INTERACT_ACROSS_USERS,intent_android_intent_action_DOWNLOAD_COMPLETE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher3_permission_UNINSTALL_SHORTCUT,perm_android_permission_INSTALL_PACKAGES,intent_aspire_iap_SMS_DELIVERED_ACTION,perm_com_android_launcher2_permission_INSTALL_SHORTCUT,intent_com_tencent_android_tpush_action_PUSH_MESSAGE,intent_com_tencent_android_tpush_action_SDK,intent_aspire_iap_SMS_SEND_ACTIOIN,perm_android_permission_CLEAR_APP_USER_DATA,perm_android_permission_DELETE_PACKAGES,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher3_permission_INSTALL_SHORTCUT,intent_android_intent_action_MEDIA_CHECKING,intent_com_tencent_android_tpush_action_INTERNAL_PUSH_MESSAGE,intent_com_tencent_android_tpush_action_FEEDBACK,perm_com_android_launcher2_permission_UNINSTALL_SHORTCUT,intent_,intent_android_intent_action_CHINAMOBILE_OMS_GAME,intent_android_provider_Telephony_WAP_PUSH_RECEIVED,n_activities,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getCellLocation,label
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,1,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,1,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0
