intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_REMOVED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_QUICKBOOT_POWERON,perm_android_permission_ACCESS_COARSE_LOCATION,n_urls,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_BOOT_COMPLETED,n_activities,n_permissions,n_providers,n_api_calls,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,n_services,n_used_permissions,n_receivers,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_VIEW,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_VIBRATE,perm_android_permission_READ_LOGS,perm_com_meizu_flyme_push_permission_RECEIVE,intent_com_baidu_autoupdatesdk_ACTION_NEW_UPDATE,suspicious_setWifiEnabled,label
0,0,0,0,0,0,0,50,0,0,12,8,1,7,1,1,1,1,10,6,6,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,50,0,0,10,5,1,6,1,1,1,1,10,5,5,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,14,8,2,7,1,1,1,1,9,6,5,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,11,7,3,8,1,1,1,1,9,7,5,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,9,7,2,6,1,1,1,1,7,5,6,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,48,0,0,10,11,2,8,1,1,1,1,12,6,5,1,1,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,47,1,0,11,10,4,7,1,1,1,1,11,6,4,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45,0,0,11,8,2,8,1,1,1,1,7,6,6,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,10,7,1,7,1,1,1,1,7,5,3,1,0,1,1,0,0,0,0,0,1
0,0,0,0,0,1,0,50,1,1,8,8,2,10,1,1,1,1,13,7,7,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,9,5,4,7,1,1,1,1,7,6,4,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,53,0,0,16,8,1,6,1,1,1,1,9,5,9,1,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,52,0,0,7,6,2,7,1,1,1,1,7,6,5,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,49,0,0,16,12,2,8,1,1,1,1,10,7,6,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,11,5,1,12,1,0,1,1,9,5,4,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,49,1,1,6,10,1,8,1,1,1,1,10,6,5,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,48,1,0,13,13,1,9,1,1,1,1,12,6,5,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,49,1,1,18,6,1,7,1,1,1,1,12,5,7,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,8,6,1,12,1,1,1,1,9,5,5,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,50,0,0,7,5,2,7,1,1,1,1,7,6,3,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,50,0,0,7,5,2,7,1,1,1,1,7,6,3,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,48,0,1,16,10,2,10,1,1,1,1,7,7,6,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,1,52,0,0,7,8,2,10,1,1,1,1,8,4,4,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,53,1,1,12,7,5,10,1,1,1,0,10,9,5,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,45,0,0,10,10,1,10,1,1,1,1,8,6,4,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,8,8,3,12,1,1,1,1,10,6,5,1,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,6,6,4,6,1,1,1,1,8,5,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,47,1,1,6,9,2,8,1,1,1,1,8,6,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,50,0,0,15,8,4,11,1,1,1,1,6,6,4,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,11,7,3,13,1,1,1,1,11,8,8,1,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,11,7,3,13,1,1,1,1,11,8,8,1,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,16,9,2,9,1,1,1,1,6,5,4,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,6,6,2,8,1,1,1,1,7,7,5,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,11,6,2,7,1,1,1,1,3,6,5,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,11,6,1,10,1,1,1,1,16,7,5,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,57,1,1,14,8,1,8,1,1,1,1,9,4,6,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,52,1,1,9,7,5,10,1,1,1,0,8,9,5,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,11,9,2,12,1,1,1,1,7,8,4,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,11,6,1,12,1,0,1,1,7,5,3,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,6,7,3,8,1,1,1,1,8,6,4,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,50,0,0,6,9,2,6,1,1,1,1,6,5,4,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,45,1,1,15,10,4,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,55,1,1,11,7,1,12,1,0,1,1,8,5,4,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,45,1,1,15,10,4,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,45,1,1,15,10,4,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,45,1,1,15,10,4,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,52,0,0,10,5,3,13,1,1,1,1,11,8,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,55,0,0,9,7,2,11,1,1,1,1,8,8,5,1,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,44,0,0,7,6,2,7,1,1,1,1,10,6,6,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,12,8,1,12,1,1,1,1,8,9,3,1,0,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,46,0,0,12,8,1,12,1,1,1,1,8,9,3,1,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,9,9,1,12,1,1,1,1,8,8,4,1,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,7,5,2,9,1,1,1,1,6,8,3,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,9,6,3,12,1,1,1,1,6,8,5,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,10,9,1,8,1,1,1,1,4,6,3,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,46,1,1,16,11,1,11,1,1,1,1,8,6,5,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,57,0,0,12,8,1,6,1,1,1,1,7,5,3,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,10,5,3,13,1,1,1,1,11,8,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,10,5,3,13,1,1,1,1,11,8,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,53,0,0,10,5,3,13,1,1,1,1,11,8,6,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,45,1,1,15,10,5,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,45,1,1,15,10,5,9,1,1,1,1,8,7,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,54,0,0,9,8,3,12,1,1,1,1,7,7,4,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,11,7,4,10,1,1,1,0,4,9,4,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,52,0,0,13,6,1,11,0,1,0,0,5,8,2,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,15,9,3,13,1,1,1,1,10,7,6,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,44,0,0,9,6,2,5,1,1,1,1,7,3,4,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,48,0,0,9,6,2,6,1,1,1,1,3,4,4,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,48,0,0,20,7,1,6,1,1,1,0,10,6,5,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,7,5,2,9,1,1,1,1,6,8,3,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,10,5,1,12,1,0,1,1,7,5,3,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45,0,0,17,8,1,8,1,0,1,1,14,4,6,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,56,0,0,8,12,1,8,1,1,1,1,9,7,7,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,48,1,1,9,11,1,7,1,1,1,1,17,5,7,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0,7,7,1,10,1,1,1,1,5,6,4,1,0,0,1,0,0,0,0,0,0
