intent_android_intent_action_PACKAGE_ADDED,n_urls,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_permissions,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,n_activities,n_services,n_providers,suspicious_getSimCountryIso,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_vending_BILLING,perm_android_permission_VIBRATE,perm_android_permission_READ_EXTERNAL_STORAGE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ljava_lang_Runtime___exec,suspicious_system_bin_su,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_RECEIVE_BOOT_COMPLETED,n_receivers,suspicious_Ldalvik_system_DexClassLoader_,suspicious_getDeviceId,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getExternalStorageDirectory,label
0,42,16,0,0,0,0,2,7,1,15,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,42,16,0,0,0,0,2,7,1,16,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,42,16,0,0,0,0,2,7,1,18,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,42,16,0,0,0,0,2,7,1,12,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,42,16,0,0,0,0,2,7,1,11,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,46,16,0,0,0,1,3,7,1,15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,44,17,0,0,0,0,3,7,1,18,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,42,16,0,0,0,1,3,7,1,18,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
1,41,16,1,1,1,0,4,6,0,17,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0
0,42,16,0,1,1,0,3,7,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
0,44,19,0,0,0,0,4,7,1,16,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
0,42,16,0,1,1,0,3,7,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
0,38,17,0,0,0,0,3,7,1,16,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,43,14,1,0,0,0,5,7,0,16,5,1,0,0,1,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0
0,41,15,0,1,1,0,4,6,0,15,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0
0,42,14,1,0,0,0,3,6,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,41,15,0,1,1,0,4,6,0,15,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0
0,37,16,0,0,0,0,2,7,1,15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,39,17,0,0,0,0,3,7,1,11,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,43,19,0,1,1,1,4,7,1,15,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
0,43,19,0,1,1,1,4,7,1,15,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
0,43,19,0,1,1,1,4,7,1,15,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
0,45,16,0,1,1,0,2,8,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,42,18,0,0,0,1,5,8,1,16,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,40,13,0,0,0,0,4,5,0,14,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,41,14,1,0,0,0,4,6,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,43,15,0,1,1,1,4,6,0,16,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
1,45,19,0,0,0,0,3,9,1,13,3,2,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0
0,41,19,0,1,1,1,4,8,0,14,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,40,18,1,0,0,1,5,8,1,16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,41,19,0,1,1,1,4,8,0,14,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,40,15,0,1,1,1,4,6,0,14,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,40,17,1,0,0,0,3,7,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,42,16,0,1,1,1,5,7,1,18,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
0,42,16,0,1,1,1,5,7,1,18,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
0,41,19,0,1,1,0,3,8,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
0,41,13,0,1,1,0,2,5,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,42,13,0,0,0,1,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,42,13,0,0,0,1,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,39,18,0,1,1,1,4,7,0,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0
0,42,15,0,1,1,1,5,6,0,14,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
0,39,17,0,0,0,0,3,7,1,20,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,42,15,0,1,1,0,6,6,0,15,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,0
0,42,15,0,1,1,0,6,6,0,15,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,1
0,42,15,0,1,1,0,6,6,0,15,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,0
0,42,15,0,1,1,0,6,6,0,15,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,0
1,40,14,0,1,1,0,4,6,0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
0,42,15,0,1,1,0,6,6,0,15,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,1,0
0,44,15,1,0,0,0,6,6,0,15,2,1,0,0,1,1,0,0,0,1,0,0,0,0,3,1,1,1,1,0
0,46,18,0,0,0,1,5,8,1,15,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
0,42,15,1,0,0,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,40,14,1,0,0,1,5,7,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,44,13,0,0,0,1,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,44,13,0,0,0,1,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
