intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_net_wifi_WIFI_STATE_CHANGED,intent_android_app_action_DEVICE_ADMIN_ENABLED,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Cipher,n_receivers,n_used_permissions,intent_android_intent_action_BOOT_COMPLETED,n_activities,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,n_urls,suspicious_getExternalStorageDirectory,n_api_calls,n_providers,n_services,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,suspicious_getDeviceId,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_VIBRATE,perm_android_permission_SET_WALLPAPER,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Base64,intent_android_intent_action_MAIN,intent_android_intent_action_VIEW,suspicious_getSystemService,label
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,17,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,18,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,18,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,18,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,3,0,18,1,5,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,5,2,0,17,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,18,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,17,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,18,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,18,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,17,1,5,2,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,1,4,0,4,2,0,18,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,3,2,0,17,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,3,0,4,3,0,18,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,17,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,19,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,3,0,4,2,0,16,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,18,1,5,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0
0,0,0,1,1,0,4,0,4,2,0,15,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,0,0,1,1,0,4,0,3,2,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
