suspicious_sendTextMessage,suspicious_getSubscriberId,perm_android_permission_WRITE_SMS,intent_com_igexin_sdk_action_refreshls,perm_android_permission_RECEIVE_USER_PRESENT,perm_android_permission_READ_LOGS,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_USER_PRESENT,perm_android_permission_READ_SMS,perm_android_permission_SEND_SMS,suspicious_system_bin_su,perm_android_permission_READ_PHONE_STATE,perm_android_permission_RECEIVE_SMS,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_accessibilityservice_AccessibilityService,intent_android_intent_action_PACKAGE_INSTALL,intent_android_service_notification_NotificationListenerService,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_BROADCAST_STICKY,perm_android_permission_CHANGE_NETWORK_STATE,n_permissions,suspicious_Base64,n_services,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_REMOVED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,label
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,5,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,13,1,6,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,13,1,6,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,2,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,15,1,4,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19,1,3,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,16,1,9,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,6,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,2,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,6,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,6,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,1,5,1,1,0,0,0,0,0,0
