intent_android_intent_action_NEW_OUTGOING_CALL,perm_android_permission_RESTART_PACKAGES,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_com_xiaomi_sdk_permission_PAYMENT,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_com_xiaomi_hy_push_client_ONCLICK,perm_android_permission_READ_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PHONE_STATE,perm_android_permission_READ_LOGS,perm_android_permission_PROCESS_OUTGOING_CALLS,intent_android_provider_Telephony_SMS_DELIVER,perm_android_permission_REAL_GET_TASKS,intent_android_intent_action_PACKAGE_RESTARTED,intent_com_igexin_sdk_action_service_message,perm_com_xiaomi_permission_AUTH_SERVICE,intent_com_igexin_sdk_action_refreshls,intent_com_adroid_SERVICE,intent_android_intent_action_MEDIA_CHECKING,intent_com_datouniao_AdPublisher_service_check,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_READ_SETTINGS,label
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
