perm_android_permission_CHANGE_WIFI_STATE,suspicious_system_bin_su,n_urls,suspicious_setWifiEnabled,n_permissions,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_ACTION_BOOT_COMPLETED,n_activities,suspicious_getDeviceId,n_providers,intent_android_intent_action_QUICKBOOT_POWERON,intent_android_intent_action_MY_PACKAGE_REPLACED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_CAMERA,n_services,n_api_calls,n_receivers,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_me_everything_badger_permission_BADGE_COUNT_READ,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,n_used_permissions,suspicious_Ldalvik_system_DexClassLoader_,label
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,1
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
0,0,30,0,27,1,1,1,0,1,6,1,0,1,1,0,0,0,0,0,0,9,21,5,1,1,1,1,9,1,0
