suspicious_getSubscriberId,perm_android_permission_RECEIVE_USER_PRESENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_WIFI_STATE,intent_com_igexin_sdk_action_refreshls,perm_android_webkit_permission_PLUGIN,intent_com_adroid_SERVICE,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_LOGS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_RESTART_PACKAGES,perm_android_permission_INTERACT_ACROSS_USERS_FULL,intent_aspire_iap_SMS_DELIVERED_ACTION,intent_aspire_iap_SMS_SEND_ACTIOIN,intent_android_intent_action_CHINAMOBILE_OMS_GAME,perm_android_permission_EXPAND_STATUS_BAR,intent_android_provider_Telephony_WAP_PUSH_RECEIVED,perm_android_permission_WRITE_APN_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_INTERACT_ACROSS_USERS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,suspicious_Base64,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_android_intent_action_PACKAGE_INSTALL,n_permissions,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,11,0
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,14,0
