intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,perm_android_permission_RECORD_AUDIO,perm_android_permission_CAMERA,suspicious_getSimCountryIso,intent_com_google_android_c2dm_intent_REGISTRATION,intent_android_intent_action_BOOT_COMPLETED,n_receivers,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_VIBRATE,n_activities,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,n_providers,suspicious_Ldalvik_system_PathClassLoader_,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_INSTANCE_ID_EVENT,n_services,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_com_android_vending_BILLING,n_urls,n_api_calls,intent_com_google_android_c2dm_intent_RECEIVE,label
0,0,0,0,9,0,1,0,0,1,5,1,0,1,3,0,14,3,1,1,0,1,1,4,0,0,0,39,24,1,0
0,0,0,0,9,0,1,0,0,1,5,1,0,1,3,0,12,3,1,1,0,1,1,4,0,0,0,38,21,1,0
0,0,0,0,8,0,1,0,0,0,3,0,0,0,3,0,13,4,1,1,1,1,0,3,0,0,1,40,25,1,0
0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,13,4,1,1,1,1,0,3,0,0,1,40,24,1,0
0,0,0,0,10,1,0,0,0,0,4,1,0,0,5,0,13,2,1,1,1,1,0,5,0,0,0,38,25,1,0
0,0,0,0,8,1,0,0,0,0,3,0,0,0,3,0,13,2,1,1,1,1,0,5,1,1,0,40,24,1,0
0,0,0,0,10,0,0,0,0,0,3,0,1,0,3,0,12,4,1,1,1,1,1,4,1,1,0,40,24,1,0
0,0,0,0,7,0,0,0,0,0,3,0,0,1,5,0,13,4,1,1,0,1,0,3,1,1,1,39,24,1,0
0,0,0,0,10,0,0,0,0,0,3,0,1,0,3,0,12,4,1,1,1,1,1,4,1,1,0,40,24,1,0
0,0,0,0,10,0,0,0,0,0,3,0,1,0,3,0,12,4,1,1,1,1,1,4,1,1,0,40,24,1,0
0,0,0,0,8,0,0,0,0,0,3,0,0,1,5,0,12,2,1,1,0,1,1,4,0,0,1,39,22,1,0
0,0,0,0,8,0,0,1,0,0,4,0,0,0,5,1,11,2,1,1,0,1,1,4,0,0,0,39,25,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,1,6,0,14,3,1,1,0,1,1,4,0,0,0,39,23,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,14,2,1,1,0,1,1,4,1,0,1,38,26,1,0
0,0,0,0,9,0,0,0,0,0,4,0,0,0,5,0,13,2,1,1,1,1,1,4,0,0,1,38,21,1,0
0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,14,3,1,1,0,1,1,6,0,0,0,37,24,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,1,13,3,1,1,0,1,0,5,0,0,0,37,22,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,12,3,1,1,0,1,0,4,0,0,0,41,23,1,0
0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,1,12,3,1,1,0,1,0,3,1,1,0,37,22,1,0
0,0,0,1,7,0,0,1,0,0,3,0,0,0,4,0,12,3,1,1,0,1,1,5,0,0,0,38,21,1,1
0,0,0,0,7,0,0,0,0,0,3,0,1,0,3,0,11,3,1,1,1,1,1,4,0,0,0,39,21,1,0
0,0,0,0,8,1,0,0,0,0,3,0,0,1,3,0,12,3,1,1,1,1,1,4,0,0,0,36,21,1,0
0,0,0,0,10,0,1,0,0,0,3,0,0,1,3,1,13,2,1,1,1,1,0,5,0,0,0,35,25,1,0
0,0,0,0,10,0,1,0,0,0,4,0,1,1,5,0,15,2,1,1,1,1,1,7,0,0,0,38,27,1,0
0,0,0,0,7,0,0,0,0,1,6,1,0,1,4,0,11,3,1,1,0,1,0,3,1,1,0,42,22,1,1
0,0,0,0,7,0,0,0,0,0,3,0,0,0,6,0,14,2,1,1,0,1,1,4,0,0,1,36,23,1,0
0,0,0,1,9,0,0,0,0,0,3,0,0,0,5,0,11,2,1,1,0,1,1,4,1,1,1,38,26,1,0
0,0,0,0,6,0,0,0,0,0,4,0,0,0,5,0,13,3,1,1,0,1,0,6,0,0,0,37,26,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,1,4,0,12,3,1,1,0,1,1,4,0,0,0,37,21,1,0
0,0,0,0,8,0,0,0,0,0,3,0,1,0,3,0,11,5,1,1,1,1,1,6,0,0,1,41,23,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,12,1,1,1,0,1,1,5,1,1,0,39,22,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,1,14,3,1,1,0,1,0,6,0,0,0,42,23,1,0
0,0,0,0,7,0,0,0,0,0,5,1,0,1,5,0,14,4,1,1,0,1,0,5,0,0,0,43,26,1,1
0,0,0,0,9,1,0,0,0,0,2,0,0,0,2,1,13,1,1,1,0,1,0,3,1,1,0,38,26,0,0
0,0,0,0,8,0,0,0,0,0,3,0,1,0,6,0,14,3,1,1,1,1,1,6,0,0,0,36,24,1,0
0,0,0,0,9,0,0,0,0,0,3,0,1,0,6,0,13,2,1,1,1,1,1,6,0,0,0,36,24,1,1
0,0,0,0,7,0,0,0,0,1,5,1,0,0,4,0,11,4,1,1,0,1,0,4,0,0,0,37,21,1,0
0,0,0,0,9,0,0,0,0,0,3,0,1,0,4,0,10,2,1,1,1,1,0,5,1,1,1,38,24,1,0
0,0,0,1,9,0,0,0,0,0,4,1,0,1,5,0,16,2,1,1,0,1,1,6,1,1,1,39,28,1,0
0,0,0,0,12,0,0,0,0,1,4,1,0,1,5,0,11,3,1,1,1,0,1,6,1,0,0,38,25,1,0
0,0,0,0,9,1,1,0,0,0,2,0,1,0,6,0,13,3,1,1,1,1,0,2,1,1,1,38,25,0,0
0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,13,3,1,1,0,1,1,7,0,0,0,41,25,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,11,2,1,1,0,1,0,3,1,1,1,40,22,1,0
0,0,0,0,7,1,0,0,0,0,4,0,0,0,4,0,15,2,1,1,0,1,0,6,1,1,1,40,28,1,0
0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,13,2,1,1,0,1,0,4,0,0,0,36,25,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,6,0,12,2,1,1,0,1,0,4,1,1,1,40,23,1,0
0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,10,3,1,1,0,1,1,5,0,0,0,40,24,1,0
0,0,0,0,10,0,0,0,0,0,3,0,1,0,3,0,12,5,1,1,1,1,1,6,1,1,0,42,24,1,0
0,0,0,0,10,0,0,0,0,0,3,0,0,0,6,1,14,2,1,1,1,1,1,5,1,1,1,42,25,1,0
