intent_android_intent_action_PACKAGE_ADDED,intent_co_ronash_pushe_ACTION_TASK_READY,intent_co_ronash_pushe_service_ScreenStateService,intent_co_ronash_pushe_CHECK_TASKS,intent_android_intent_action_PACKAGE_INSTALL,intent_com_evernote_android_job_ADD_JOB_CREATOR,intent_co_ronash_pushe_RECEIVE,intent_android_intent_action_PACKAGE_FULLY_REMOVED,intent_android_intent_action_PACKAGE_REPLACED,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getCellLocation,intent_android_intent_action_USER_PRESENT,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_receivers,perm_android_permission_ACCESS_LOCATION_EXTRA_COMMANDS,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_android_intent_action_SCREEN_OFF,perm_android_permission_RECEIVE_USER_PRESENT,perm_android_permission_PACKAGE_USAGE_STATS,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_SCREEN_ON,n_api_calls,n_services,n_permissions,n_providers,perm_android_permission_RECEIVE_BOOT_COMPLETED,n_urls,label
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,10,13,0,0,37,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,10,13,0,0,37,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,10,13,0,0,37,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,10,13,0,0,37,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,10,15,0,0,36,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,10,15,0,0,36,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,11,15,0,0,36,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,11,15,0,0,36,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,11,15,0,0,36,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,11,15,0,0,36,0
