intent_android_intent_action_CREATE_SHORTCUT,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_DELETE,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_WRITE_APN_SETTINGS,perm_com_android_launcher3_permission_READ_SETTINGS,intent_android_intent_action_SIG_STR,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RESTART_PACKAGES,perm_android_permission_ACCESS_WIFI_STATE,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_android_net_wifi_WIFI_STATE_CHANGED,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_READ_CALENDAR,n_permissions,perm_android_permission_SEND_SMS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_appwidget_action_APPWIDGET_UPDATE,perm_android_permission_CALL_PHONE,intent_android_intent_action_MAIN,n_activities,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,suspicious_getDeviceId,perm_android_Manifest_permission_READ_SMS,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,9,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,1,8,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,1,8,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,1,11,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,1,7,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,8,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,9,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,9,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,1,10,0,0,1,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,1,6,1,0,0,1,1,0,0
