perm_android_permission_READ_PHONE_STATE,perm_android_permission_RECEIVE_USER_PRESENT,intent_com_igexin_sdk_action_refreshls,perm_android_permission_READ_LOGS,intent_co_ronash_pushe_RECEIVE,intent_co_ronash_pushe_service_ScreenStateService,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PACKAGE_INSTALL,perm_android_permission_REQUEST_INSTALL_PACKAGES,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ljava_lang_Runtime___exec,intent_com_evernote_android_job_ADD_JOB_CREATOR,suspicious_sendTextMessage,perm_android_permission_BROADCAST_STICKY,suspicious_getCellLocation,perm_android_permission_ACCESS_WIFI_STATE,n_activities,perm_android_permission_DOWNLOAD_WITHOUT_NOTIFICATION,perm_android_permission_SET_WALLPAPER,intent_android_intent_action_PACKAGE_REPLACED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_vending_CHECK_LICENSE,intent_android_intent_action_PACKAGE_ADDED,suspicious_Base64,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getCellSignalStrength,suspicious_getSubscriberId,suspicious_getDeviceId,perm_android_permission_WRITE_EXTERNAL_STORAGE,label
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,33,1,0,1,0,0,0,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,31,0,0,0,1,0,1,1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,1,1,1,0,0,1,1,0
