cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
0,cluster_0.json,50,intent_com.google.android.gms.iid.InstanceID,5,0.8864349833765045,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_0
1,cluster_1.json,50,perm_android.permission.CHANGE_WIFI_STATE,5,0.6745976104506424,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_1
2,cluster_2.json,50,n_api_calls,4,0.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_2
3,cluster_3.json,50,suspicious_getSubscriberId,5,0.9749227252585342,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_3
4,cluster_4.json,50,n_api_calls,5,0.4902663425288406,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_4
5,cluster_5.json,50,intent_com.igexin.sdk.action.refreshls,5,0.7420085963995773,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_5
6,cluster_6.json,50,perm_android.permission.GET_ACCOUNTS,5,0.9408106555152016,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_6
7,cluster_7.json,50,intent_ACTION.TAPCORE.MESSAGE,5,1.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_7
8,cluster_8.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,4,0.8049903751107447,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_8
9,cluster_9.json,50,suspicious_getSubscriberId,5,0.704274080549171,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_9
10,cluster_10.json,50,n_api_calls,4,0.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_10
11,cluster_11.json,50,n_services,5,0.4116298134747591,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_11
12,cluster_12.json,50,intent_android.intent.action.CREATE_SHORTCUT,5,0.829798053229086,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_12
13,cluster_13.json,50,intent_android.intent.action.BATTERY_CHANGED,4,0.7584700013789376,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_13
14,cluster_14.json,50,suspicious_getSubscriberId,5,0.717600540977165,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_14
15,cluster_15.json,50,perm_android.permission.GET_TASKS,5,0.9153644650850804,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_15
