cluster_id,n_samples,n_rules,n_label1_rules,n_label0_rules,accuracy,recall,precision,f1,tp,fp,tn,fn
2,500,18,2,16,0.828,0.014705882352941176,0.05,0.022727272727272728,1,19,413,67
5,500,51,51,0,0.24,0.9206349206349206,0.13394919168591224,0.23387096774193547,58,375,62,5
7,500,49,11,38,0.738,0.19672131147540983,0.1276595744680851,0.15483870967741936,12,82,357,49
8,500,33,33,0,0.334,0.8,0.13008130081300814,0.22377622377622378,48,321,119,12
11,500,16,16,0,0.128,0.9166666666666666,0.09243697478991597,0.16793893129770993,44,432,20,4
16,500,69,36,33,0.17,0.7708333333333334,0.08390022675736962,0.15132924335378323,37,404,48,11
20,500,130,130,0,0.148,0.9607843137254902,0.10359408033826638,0.18702290076335878,49,424,25,2
27,500,30,30,0,0.31,0.8360655737704918,0.13212435233160622,0.22818791946308725,51,335,104,10
33,500,14,14,0,0.298,0.6590909090909091,0.07945205479452055,0.14180929095354522,29,336,120,15
37,500,21,21,0,0.536,0.5384615384615384,0.11864406779661017,0.19444444444444445,28,208,240,24
38,500,7,7,0,0.79,0.17777777777777778,0.10526315789473684,0.1322314049586777,8,68,387,37
44,500,65,65,0,0.09,1.0,0.09,0.1651376146788991,45,455,0,0
55,500,103,103,0,0.12,1.0,0.12,0.21428571428571427,60,440,0,0
62,500,11,3,8,0.426,0.42424242424242425,0.04964539007092199,0.08888888888888889,14,268,199,19
68,500,41,41,0,0.416,0.6,0.11842105263157894,0.1978021978021978,36,268,172,24
75,500,3,3,0,0.54,0.36363636363636365,0.07339449541284404,0.12213740458015267,16,202,254,28
76,500,208,208,0,0.108,1.0,0.108,0.19494584837545126,54,446,0,0
83,500,120,120,0,0.092,1.0,0.092,0.1684981684981685,46,454,0,0
87,500,124,79,45,0.126,1.0,0.109979633401222,0.1981651376146789,54,437,9,0
92,500,2,2,0,0.308,0.717948717948718,0.07713498622589532,0.13930348258706468,28,335,126,11
97,500,60,60,0,0.372,0.66,0.1,0.1736842105263158,33,297,153,17
98,500,11,11,0,0.082,1.0,0.0783132530120482,0.1452513966480447,39,459,2,0
