cluster_id,anchor_index,rank,feature
0,27735,1,intent_
0,27735,2,intent_ACTION.TAPCORE.MESSAGE
0,27735,3,intent_ACTION.TAPCORE.SYNC
0,27735,4,intent_LOCATION_SERVICE
0,27735,5,intent_action.com.excelliance.install.plugin
0,27735,6,intent_action.qihoo360.daemon.pcdaemon.DaemonStatus
0,27735,7,intent_action_send_cancel
0,27735,8,intent_action_send_pop
0,27735,9,intent_android.Intent.ACTION_NEW_OUTGOING_CALL
0,27735,10,intent_android.accessibilityservice.AccessibilityService
0,27735,11,intent_android.accounts.AccountAuthenticator
0,27735,12,intent_android.app.action.DEVICE_ADMIN_ENABLED
0,27735,13,intent_android.appwidget.action.APPWIDGET_CONFIGURE
0,27735,14,intent_android.appwidget.action.APPWIDGET_UPDATE
0,27735,15,intent_android.bluetooth.adapter.action.STATE_CHANGED
0,27735,16,intent_android.content.SyncAdapter
0,27735,17,intent_android.easou.eyou.SEND_SMS_RESULT
0,27735,18,intent_android.fbreader.action.CLOSE
0,27735,19,intent_android.fbreader.action.PLUGIN
0,27735,20,intent_android.fbreader.action.PLUGIN_CRASH
0,27735,21,intent_android.hardware.usb.action.USB_STATE
0,27735,22,intent_android.intent.action
0,27735,23,intent_android.intent.action.ACTION_BOOT_COMPLETED
0,27735,24,intent_android.intent.action.ACTION_MEDIA_EJECT
0,27735,25,intent_android.intent.action.ACTION_PACKAGE_ADDED
0,27735,26,intent_android.intent.action.ACTION_POWER_CONNECTED
0,27735,27,intent_android.intent.action.ACTION_POWER_DISCONNECTED
0,27735,28,intent_android.intent.action.ACTION_SHUTDOWN
0,27735,29,intent_android.intent.action.ACTION_VIEW_DOWNLOADS
0,27735,30,intent_android.intent.action.ANY_DATA_STATE
1,37855,1,perm_com.android.launcher.permission.INSTALL_SHORTCUT
1,37855,2,perm_android.permission.GET_TASKS
1,37855,3,perm_android.permission.SYSTEM_ALERT_WINDOW
1,37855,4,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS
1,37855,5,perm_android.permission.READ_PHONE_STATE
1,37855,6,suspicious_Ljava/lang/Runtime;->exec
1,37855,7,perm_com.android.launcher.permission.READ_SETTINGS
1,37855,8,perm_android.permission.CHANGE_CONFIGURATION
1,37855,9,suspicious_getSubscriberId
1,37855,10,n_permissions
1,37855,11,perm_com.google.android.c2dm.permission.RECEIVE
1,37855,12,intent_com.google.android.c2dm.intent.RECEIVE
1,37855,13,n_providers
1,37855,14,n_api_calls
1,37855,15,perm_android.permission.ACCESS_WIFI_STATE
1,37855,16,intent_com.google.android.c2dm.intent.REGISTRATION
1,37855,17,n_used_permissions
1,37855,18,perm_android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
1,37855,19,perm_android.permission.ACCESS_FINE_LOCATION
1,37855,20,suspicious_Ldalvik/system/PathClassLoader;
1,37855,21,perm_ACCESS_WIFI_STATE
1,37855,22,perm_com.google.android.providers.gsf.permission.READ_GSERVICES
1,37855,23,n_receivers
1,37855,24,suspicious_Ldalvik/system/DexClassLoader;
1,37855,25,perm_android.permission.WRITE_EXTERNAL_STORAGE
1,37855,26,intent_cn.play.dservice
1,37855,27,perm_android.permission.CAMERA
1,37855,28,intent_android.intent.action.USER_PRESENT
1,37855,29,perm_android.permission.SEND_SMS
1,37855,30,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT
2,33455,1,n_urls
2,33455,2,perm_android.permission.SET_WALLPAPER
2,33455,3,n_api_calls
2,33455,4,intent_android.intent.action.PACKAGE_ADDED
2,33455,5,n_activities
2,33455,6,perm_com.google.android.c2dm.permission.RECEIVE
2,33455,7,perm_android.permission.RECEIVE_SMS
2,33455,8,n_permissions
2,33455,9,n_services
2,33455,10,intent_com.google.android.c2dm.intent.RECEIVE
2,33455,11,n_used_permissions
2,33455,12,suspicious_getCellLocation
2,33455,13,perm_android.permission.KILL_BACKGROUND_PROCESSES
2,33455,14,n_receivers
2,33455,15,intent_com.inmobi.share.id
2,33455,16,suspicious_Ldalvik/system/PathClassLoader;
2,33455,17,intent_android.intent.action.VIEW
2,33455,18,perm_android.permission.READ_EXTERNAL_STORAGE
2,33455,19,n_providers
2,33455,20,intent_android.intent.action.PACKAGE_INSTALL
2,33455,21,intent_com.yandex.metrica.IMetricaService
2,33455,22,suspicious_system/bin/su
2,33455,23,perm_android.permission.ACCESS_WIFI_STATE
2,33455,24,perm_android.permission.SYSTEM_ALERT_WINDOW
2,33455,25,suspicious_getCellSignalStrength
2,33455,26,intent_com.google.firebase.INSTANCE_ID_EVENT
2,33455,27,suspicious_Ljava/lang/System;->load
2,33455,28,suspicious_Ljava/lang/System;->loadLibrary
2,33455,29,suspicious_getSubscriberId
2,33455,30,suspicious_Landroid/telephony/SmsMessage;->getMessageBody
3,6751,1,n_activities
3,6751,2,perm_com.google.android.c2dm.permission.RECEIVE
3,6751,3,n_providers
3,6751,4,n_api_calls
3,6751,5,intent_com.google.android.c2dm.intent.RECEIVE
3,6751,6,n_permissions
3,6751,7,perm_android.permission.CHANGE_WIFI_STATE
3,6751,8,intent_com.android.vending.INSTALL_REFERRER
3,6751,9,intent_com.google.firebase.MESSAGING_EVENT
3,6751,10,perm_android.permission.SYSTEM_ALERT_WINDOW
3,6751,11,intent_com.google.firebase.INSTANCE_ID_EVENT
3,6751,12,perm_android.permission.WRITE_SETTINGS
3,6751,13,n_urls
3,6751,14,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS
3,6751,15,n_services
3,6751,16,perm_android.permission.WRITE_SMS
3,6751,17,intent_android.provider.Telephony.SMS_RECEIVED
3,6751,18,perm_com.sec.android.provider.badge.permission.READ
3,6751,19,perm_com.sec.android.provider.badge.permission.WRITE
3,6751,20,perm_com.anddoes.launcher.permission.UPDATE_COUNT
3,6751,21,perm_com.majeur.launcher.permission.UPDATE_BADGE
3,6751,22,perm_com.android.launcher.permission.INSTALL_SHORTCUT
3,6751,23,perm_android.permission.UPDATE_APP_OPS_STATS
3,6751,24,n_receivers
3,6751,25,perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
3,6751,26,perm_android.permission.READ_SMS
3,6751,27,intent_android.intent.action.BATTERY_CHANGED
3,6751,28,intent_android.intent.action.MEDIA_REMOVED
3,6751,29,intent_android.intent.action.SCREEN_ON
3,6751,30,intent_android.intent.action.SIM_STATE_CHANGED
4,6786,1,n_activities
4,6786,2,n_permissions
4,6786,3,n_urls
4,6786,4,n_api_calls
4,6786,5,n_used_permissions
4,6786,6,suspicious_getPackageInfo
4,6786,7,suspicious_Base64
4,6786,8,perm_android.permission.ACCESS_NETWORK_STATE
4,6786,9,n_providers
4,6786,10,intent_android.intent.action.MAIN
4,6786,11,perm_android.permission.CAMERA
4,6786,12,perm_android.permission.WRITE_EXTERNAL_STORAGE
4,6786,13,suspicious_Ljava/lang/System;->load
4,6786,14,suspicious_Ljava/lang/System;->loadLibrary
4,6786,15,n_services
4,6786,16,perm_android.permission.CALL_PHONE
4,6786,17,suspicious_getDeviceId
4,6786,18,intent_android.appwidget.action.APPWIDGET_UPDATE
4,6786,19,intent_android.intent.action.SEND
4,6786,20,n_receivers
4,6786,21,perm_android.permission.ACCESS_FINE_LOCATION
4,6786,22,perm_android.permission.ACCESS_WIFI_STATE
4,6786,23,perm_android.permission.FLASHLIGHT
4,6786,24,perm_android.permission.PACKAGE_USAGE_STATS
4,6786,25,perm_android.permission.RECORD_AUDIO
4,6786,26,perm_android.permission.SET_WALLPAPER
4,6786,27,perm_android.permission.VIBRATE
4,6786,28,perm_com.android.alarm.permission.SET_ALARM
4,6786,29,perm_com.android.vending.BILLING
4,6786,30,suspicious_Cipher
5,26534,1,n_api_calls
5,26534,2,n_used_permissions
5,26534,3,n_urls
5,26534,4,suspicious_getPackageInfo
5,26534,5,suspicious_Base64
5,26534,6,perm_android.permission.READ_PHONE_STATE
5,26534,7,suspicious_system/bin/su
5,26534,8,n_services
5,26534,9,suspicious_getExternalStorageDirectory
5,26534,10,perm_android.permission.FOREGROUND_SERVICE
5,26534,11,perm_com.huawei.android.launcher.permission.CHANGE_BADGE
5,26534,12,suspicious_getSystemService
5,26534,13,n_permissions
5,26534,14,n_providers
5,26534,15,intent_android.intent.action.MY_PACKAGE_REPLACED
5,26534,16,perm_android.permission.WRITE_EXTERNAL_STORAGE
5,26534,17,perm_android.permission.READ_APP_BADGE
5,26534,18,perm_com.anddoes.launcher.permission.UPDATE_COUNT
5,26534,19,perm_com.htc.launcher.permission.UPDATE_SHORTCUT
5,26534,20,perm_com.majeur.launcher.permission.UPDATE_BADGE
5,26534,21,perm_com.oppo.launcher.permission.WRITE_SETTINGS
5,26534,22,perm_com.sec.android.provider.badge.permission.READ
5,26534,23,perm_com.sec.android.provider.badge.permission.WRITE
5,26534,24,perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
5,26534,25,perm_me.everything.badger.permission.BADGE_COUNT_READ
5,26534,26,perm_me.everything.badger.permission.BADGE_COUNT_WRITE
5,26534,27,perm_android.permission.WRITE_SMS
5,26534,28,n_receivers
5,26534,29,perm_android.permission.SYSTEM_ALERT_WINDOW
5,26534,30,perm_android.permission.SEND_SMS
6,38398,1,n_api_calls
6,38398,2,perm_android.permission.SYSTEM_ALERT_WINDOW
6,38398,3,perm_android.permission.GET_TASKS
6,38398,4,perm_com.htc.launcher.permission.UPDATE_SHORTCUT
6,38398,5,perm_com.sonyericsson.home.permission.BROADCAST_BADGE
6,38398,6,perm_com.anddoes.launcher.permission.UPDATE_COUNT
6,38398,7,perm_com.majeur.launcher.permission.UPDATE_BADGE
6,38398,8,perm_com.sec.android.provider.badge.permission.READ
6,38398,9,perm_com.sec.android.provider.badge.permission.WRITE
6,38398,10,perm_com.android.launcher.permission.READ_SETTINGS
6,38398,11,n_urls
6,38398,12,perm_com.google.android.c2dm.permission.RECEIVE
6,38398,13,perm_com.android.launcher.permission.INSTALL_SHORTCUT
6,38398,14,intent_com.google.android.c2dm.intent.RECEIVE
6,38398,15,n_used_permissions
6,38398,16,perm_android.permission.CHANGE_CONFIGURATION
6,38398,17,n_receivers
6,38398,18,n_permissions
6,38398,19,perm_android.permission.ACCESS_WIFI_STATE
6,38398,20,perm_com.huawei.android.launcher.permission.CHANGE_BADGE
6,38398,21,perm_android.permission.READ_PHONE_STATE
6,38398,22,suspicious_getSystemService
6,38398,23,intent_com.google.android.gms.iid.InstanceID
6,38398,24,perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
6,38398,25,suspicious_getPackageInfo
6,38398,26,n_services
6,38398,27,suspicious_Ljava/lang/System;->load
6,38398,28,suspicious_Base64
6,38398,29,suspicious_getCellLocation
6,38398,30,suspicious_getSubscriberId
7,49031,1,perm_android.permission.SEND_SMS
7,49031,2,perm_android.permission.SYSTEM_ALERT_WINDOW
7,49031,3,suspicious_sendTextMessage
8,17533,1,perm_android.permission.ACCESS_COARSE_LOCATION
8,17533,2,suspicious_adb_enabled
8,17533,3,n_api_calls
8,17533,4,n_receivers
8,17533,5,suspicious_Ljava/lang/Runtime;->exec
8,17533,6,n_permissions
8,17533,7,n_used_permissions
8,17533,8,n_providers
8,17533,9,n_urls
8,17533,10,n_services
8,17533,11,n_activities
8,17533,12,intent_com.android.vending.INSTALL_REFERRER
8,17533,13,intent_com.google.android.c2dm.intent.RECEIVE
8,17533,14,suspicious_Ljava/lang/System;->loadLibrary
8,17533,15,perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
8,17533,16,suspicious_Ljava/lang/System;->load
8,17533,17,perm_com.google.android.c2dm.permission.RECEIVE
8,17533,18,intent_com.google.firebase.INSTANCE_ID_EVENT
8,17533,19,perm_android.permission.WRITE_EXTERNAL_STORAGE
8,17533,20,perm_com.android.vending.BILLING
8,17533,21,intent_android.intent.action.BOOT_COMPLETED
8,17533,22,intent_com.google.firebase.MESSAGING_EVENT
8,17533,23,perm_android.permission.ACCESS_WIFI_STATE
8,17533,24,perm_android.permission.VIBRATE
8,17533,25,intent_android.intent.action.VIEW
8,17533,26,perm_android.permission.READ_EXTERNAL_STORAGE
8,17533,27,suspicious_getSimCountryIso
8,17533,28,perm_android.permission.RECEIVE_BOOT_COMPLETED
8,17533,29,suspicious_Ldalvik/system/PathClassLoader;
8,17533,30,suspicious_getCellSignalStrength
9,45174,1,perm_com.htc.launcher.permission.UPDATE_SHORTCUT
9,45174,2,perm_com.sec.android.provider.badge.permission.READ
9,45174,3,perm_com.sec.android.provider.badge.permission.WRITE
9,45174,4,perm_com.sonyericsson.home.permission.BROADCAST_BADGE
9,45174,5,perm_com.anddoes.launcher.permission.UPDATE_COUNT
9,45174,6,perm_com.majeur.launcher.permission.UPDATE_BADGE
9,45174,7,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS
9,45174,8,suspicious_getSubscriberId
9,45174,9,perm_android.permission.READ_SMS
9,45174,10,perm_android.permission.ACCESS_WIFI_STATE
9,45174,11,perm_android.permission.CHANGE_WIFI_STATE
9,45174,12,perm_android.permission.READ_PHONE_STATE
9,45174,13,suspicious_getCellLocation
9,45174,14,perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
9,45174,15,perm_com.huawei.android.launcher.permission.CHANGE_BADGE
9,45174,16,suspicious_getDeviceId
9,45174,17,perm_android.permission.READ_APP_BADGE
9,45174,18,perm_com.oppo.launcher.permission.WRITE_SETTINGS
9,45174,19,perm_android.permission.READ_CALL_LOG
9,45174,20,n_receivers
9,45174,21,perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS
9,45174,22,intent_android.intent.action.USER_PRESENT
9,45174,23,n_providers
9,45174,24,n_api_calls
9,45174,25,n_urls
9,45174,26,suspicious_Cipher
9,45174,27,n_activities
9,45174,28,perm_com.google.android.c2dm.permission.RECEIVE
9,45174,29,intent_com.google.android.c2dm.intent.RECEIVE
9,45174,30,n_permissions
10,42363,1,intent_android.intent.action.BOOT_COMPLETED
10,42363,2,perm_android.permission.RECEIVE_BOOT_COMPLETED
11,68780,1,intent_android.intent.action.QUICKBOOT_POWERON
11,68780,2,intent_android.intent.action.ACTION_POWER_CONNECTED
11,68780,3,intent_android.intent.action.ACTION_POWER_DISCONNECTED
11,68780,4,intent_android.intent.action.SCREEN_OFF
11,68780,5,intent_android.intent.action.SCREEN_ON
11,68780,6,intent_android.net.wifi.WIFI_STATE_CHANGED
11,68780,7,perm_com.android.launcher.permission.INSTALL_SHORTCUT
11,68780,8,perm_android.permission.RECEIVE_BOOT_COMPLETED
11,68780,9,n_services
11,68780,10,intent_android.intent.action.SEND
11,68780,11,intent_android.intent.action.USER_PRESENT
11,68780,12,n_urls
11,68780,13,n_activities
11,68780,14,n_api_calls
11,68780,15,intent_android.intent.action.BOOT_COMPLETED
11,68780,16,n_permissions
11,68780,17,n_receivers
11,68780,18,intent_android.net.conn.CONNECTIVITY_CHANGE
11,68780,19,n_used_permissions
11,68780,20,perm_android.permission.ACCESS_FINE_LOCATION
11,68780,21,intent_com.android.vending.INSTALL_REFERRER
11,68780,22,perm_android.permission.WRITE_EXTERNAL_STORAGE
11,68780,23,suspicious_Ljava/lang/System;->loadLibrary
11,68780,24,suspicious_Ljava/lang/System;->load
11,68780,25,perm_com.google.android.c2dm.permission.RECEIVE
11,68780,26,intent_com.google.android.c2dm.intent.RECEIVE
11,68780,27,n_providers
11,68780,28,suspicious_Ljava/lang/Runtime;->exec
11,68780,29,perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
11,68780,30,intent_android.intent.action.VIEW
12,41625,1,n_urls
12,41625,2,n_permissions
12,41625,3,intent_android.intent.action.QUICKBOOT_POWERON
12,41625,4,n_api_calls
12,41625,5,n_used_permissions
12,41625,6,n_services
12,41625,7,n_providers
12,41625,8,perm_com.google.android.c2dm.permission.RECEIVE
12,41625,9,perm_android.permission.SEND_SMS
12,41625,10,perm_com.android.launcher.permission.INSTALL_SHORTCUT
12,41625,11,n_activities
12,41625,12,suspicious_Ljava/lang/System;->loadLibrary
12,41625,13,suspicious_Ljava/lang/System;->load
12,41625,14,n_receivers
12,41625,15,intent_com.google.android.c2dm.intent.RECEIVE
12,41625,16,perm_android.permission.USE_CREDENTIALS
12,41625,17,intent_android.intent.action.VIEW
12,41625,18,perm_com.android.vending.BILLING
12,41625,19,perm_android.permission.GET_TASKS
12,41625,20,intent_com.google.firebase.INSTANCE_ID_EVENT
12,41625,21,intent_com.android.vending.INSTALL_REFERRER
12,41625,22,suspicious_system/bin/su
12,41625,23,intent_android.intent.action.USER_PRESENT
12,41625,24,intent_com.google.firebase.MESSAGING_EVENT
12,41625,25,suspicious_Ldalvik/system/DexClassLoader;
12,41625,26,perm_android.permission.VIBRATE
12,41625,27,intent_com.google.android.c2dm.intent.REGISTRATION
12,41625,28,perm_android.permission.CAMERA
12,41625,29,suspicious_getDeviceId
12,41625,30,perm_android.permission.ACCESS_WIFI_STATE
13,58945,1,intent_android.intent.action.QUICKBOOT_POWERON
13,58945,2,intent_android.intent.action.MY_PACKAGE_REPLACED
13,58945,3,intent_com.google.android.gms.gcm.ACTION_TASK_READY
14,57893,1,perm_android.permission.ACCESS_NETWORK_STATE
15,29019,1,intent_com.google.android.c2dm.intent.RECEIVE
15,29019,2,n_api_calls
15,29019,3,perm_android.permission.RESTART_PACKAGES
15,29019,4,n_permissions
15,29019,5,perm_android.permission.CHANGE_NETWORK_STATE
15,29019,6,perm_com.google.android.c2dm.permission.RECEIVE
15,29019,7,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT
15,29019,8,perm_android.permission.WRITE_SMS
15,29019,9,n_urls
15,29019,10,intent_com.google.firebase.INSTANCE_ID_EVENT
15,29019,11,perm_android.permission.GET_TASKS
