cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,mean_reduction_ratio,mean_conditional_entropy
0,32778,500,436,64,0.5519275534566073,4,0.011828406596879542,0.5453991299423017
1,70505,500,497,3,0.05291508034484766,4,0.02350744657604575,0.051671181920574
2,50222,500,500,0,-0.0,30,0.0,0.0
3,34982,500,374,126,0.8144326879441559,1,0.009872793259723216,0.8063919623921224
4,33753,500,499,1,0.020814071335501033,30,0.0024562157589952125,0.02076294748547793
5,58339,500,398,102,0.7298563169471574,30,0.01051967038530633,0.7221784690642398
6,11565,500,497,3,0.05291508034484766,30,0.006958487811285814,0.05254687140323484
7,24425,500,473,27,0.303151590366192,30,0.008497315398560355,0.3005756156892753
8,12382,500,493,7,0.10627369308465984,30,0.0015781121812191287,0.10610598127505978
9,53749,500,489,11,0.15252732850878192,30,0.007072878667291933,0.15144852122079316
10,13677,500,500,0,-0.0,30,0.0,0.0
11,37311,500,498,2,0.037622360322278434,1,0.005057308705567741,0.03743209243189656
12,32435,500,494,6,0.09377790984777166,30,0.011255439021770246,0.092722398301891
13,61647,500,496,4,0.06722154475830686,30,0.0049906174069680705,0.06688606774691278
14,27772,500,494,6,0.09377790984777166,30,0.0030261105906014526,0.09349412752161683
15,52238,500,495,5,0.08079313589591118,1,0.004419253183275252,0.08043609057291637
16,62411,500,362,138,0.8499431123430717,2,0.012460541558979008,0.8393523608689528
17,15091,500,498,2,0.037622360322278434,7,0.008029057248948852,0.03732028823741028
18,66534,500,399,101,0.7259101060407926,1,0.004215153870552811,0.7228502832476416
19,72528,500,495,5,0.08079313589591118,30,0.008932662937619257,0.08007143804527972
20,17027,500,383,117,0.7849192945250534,2,0.013790314364731018,0.7740950107026101
21,69153,500,499,1,0.020814071335501033,4,0.004880677218630756,0.020712484571706904
22,66937,500,421,79,0.6295033782281994,3,0.010462769412070982,0.622917029537678
23,9598,500,497,3,0.05291508034484766,26,0.03270670337100667,0.05118440250815576
24,12048,500,217,283,0.9873944843383377,30,0.006288498287118084,0.9811852558148664
25,62913,500,496,4,0.06722154475830686,3,0.021155670612519887,0.06579942789933536
26,59652,500,499,1,0.020814071335501033,5,0.00785773655681307,0.020650519846271954
27,14205,500,499,1,0.020814071335501033,1,0.004501274927008716,0.020720381478069577
28,56955,500,499,1,0.020814071335501033,30,0.003615851583941762,0.02073881074269429
29,10481,500,40,460,0.4021791902022728,1,0.014973784872721477,0.3961570455278986
30,17966,500,480,20,0.24229218908241482,1,0.00831039116435031,0.2402786462150733
31,41557,500,497,3,0.05291508034484766,1,0.003017366099276403,0.05275541617527465
32,52510,500,499,1,0.020814071335501033,5,0.00506401166026566,0.02070866863556046
33,39439,500,490,10,0.14144054254182067,30,0.007316442206967313,0.14040570098659133
34,40868,500,499,1,0.020814071335501033,1,0.0058308196121514486,0.02069270824014928
35,21623,500,263,237,0.9980485963165613,3,0.00819910921941058,0.9898654868690824
36,67885,500,496,4,0.06722154475830686,30,0.0034784823314946726,0.0669877158025693
37,58888,500,481,19,0.23304589256445052,1,0.007217430225222468,0.2313639000955919
38,48242,500,489,11,0.15252732850878192,30,0.008965780585342132,0.15115980194810383
39,57579,500,498,2,0.037622360322278434,30,0.002753131827347171,0.03751878100465524
40,6904,500,499,1,0.020814071335501033,1,0.0040369388471023955,0.02073004620236039
41,63120,500,376,124,0.8080927832245586,30,0.007010385045242135,0.8024277416618731
42,40969,500,422,78,0.6246538232507122,30,0.0043970217590645275,0.6219072067979959
43,29058,500,494,6,0.09377790984777166,14,0.024417467769315616,0.09148809075658988
44,33225,500,497,3,0.05291508034484766,30,0.0022242014076789057,0.05279738654865723
45,35666,500,447,53,0.48773158354050183,1,0.0054182788583154754,0.4850889178128714
46,47222,500,500,0,-0.0,30,0.0,0.0
47,5090,500,476,24,0.2778395739583094,30,0.004608321772986277,0.27655919980024013
48,57020,500,451,49,0.462623491762443,30,0.005580464101660597,0.46004183797407777
49,17013,500,500,0,-0.0,30,0.0,0.0
50,49029,500,492,8,0.11835001140827503,30,0.005175744548282573,0.11773746198193945
51,67352,500,271,229,0.9949041692998883,3,0.014660252998421296,0.9803186224687676
52,51201,500,492,8,0.11835001140827503,1,0.003941801362689573,0.11788349917203154
53,27484,500,268,232,0.9962572968375276,30,0.0024373073462676193,0.9938291116091725
54,33402,500,494,6,0.09377790984777166,30,0.00586921183522583,0.09322750742941037
55,34708,500,474,26,0.2948328193632007,30,0.011979677553842969,0.29130081725493917
56,69436,500,487,13,0.17391711692221742,30,0.006876861322368073,0.17272111302755727
57,38449,500,476,24,0.2778395739583094,30,0.004466348741372558,0.27659864552685726
