feature,mean_cluster_coverage,max_cluster_coverage,appearances
n_api_calls,0.4403242517753616,0.79,22
n_urls,0.43205711003581426,0.8,22
n_permissions,0.4275156138305508,0.79,22
n_activities,0.42601288366405343,0.78,22
intent_android.intent.action.ACTION_POWER_CONNECTED,0.3851301105053355,0.6856628674265147,22
intent_android.appwidget.action.APPWIDGET_UPDATE,0.38488404997133246,0.6880623875224955,22
intent_ACTION.TAPCORE.MESSAGE,0.38259362689296705,0.6922615476904619,22
intent_ACTION.TAPCORE.SYNC,0.38221183052496793,0.6910617876424715,22
intent_android.intent.action.ACTION_POWER_DISCONNECTED,0.3808754340041082,0.6856628674265147,22
n_services,0.37664168443952484,0.73,22
intent_android.app.action.DEVICE_ADMIN_ENABLED,0.3765178473723765,0.6880623875224955,22
intent_android.accessibilityservice.AccessibilityService,0.37409111519219496,0.6880623875224955,22
intent_,0.3694088875099673,0.6880623875224955,22
intent_android.appwidget.action.APPWIDGET_CONFIGURE,0.36879103868006086,0.6844631073785243,22
intent_android.bluetooth.adapter.action.STATE_CHANGED,0.36782708568851336,0.6868626274745051,22
intent_LOCATION_SERVICE,0.36639072750560453,0.6868626274745051,22
intent_action.qihoo360.daemon.pcdaemon.DaemonStatus,0.3659992778676042,0.6862627474505099,22
intent_action.com.excelliance.install.plugin,0.365844726959604,0.6868626274745051,22
intent_action_send_cancel,0.3653447542268778,0.6850629874025195,22
intent_android.Intent.ACTION_NEW_OUTGOING_CALL,0.3647720324076053,0.6844631073785243,22
intent_action_send_pop,0.36472657786215074,0.6844631073785243,22
intent_android.accounts.AccountAuthenticator,0.36413566877124165,0.6844631073785243,22
intent_android.intent.action.ACTION_SHUTDOWN,0.3637351936656076,0.6802639472105579,22
intent_android.content.SyncAdapter,0.3634800531294233,0.6832633473305338,22
n_receivers,0.36223981690148455,0.68,22
intent_android.easou.eyou.SEND_SMS_RESULT,0.3615985297616971,0.6820635872825435,22
intent_android.fbreader.action.CLOSE,0.3611346313046973,0.6814637072585483,22
intent_android.fbreader.action.PLUGIN,0.36008917675924274,0.6814637072585483,22
intent_android.fbreader.action.PLUGIN_CRASH,0.35967967634974235,0.6814637072585483,22
intent_android.hardware.usb.action.USB_STATE,0.3596251418021064,0.6808638272345531,22
intent_android.intent.action.ACTION_BOOT_COMPLETED,0.35958023325719785,0.6808638272345531,22
intent_android.intent.action,0.35935266026237833,0.6826634673065387,22
intent_android.intent.action.ANY_DATA_STATE,0.3593358925266544,0.6790641871625674,22
intent_android.intent.action.ACTION_VIEW_DOWNLOADS,0.3584618111594716,0.6784643071385723,22
intent_android.intent.action.ACTION_MEDIA_EJECT,0.3566433563410168,0.6784643071385723,22
intent_android.intent.action.ACTION_PACKAGE_ADDED,0.35627971997738045,0.6784643071385723,22
n_used_permissions,0.3368372391041857,0.65,22
n_providers,0.3187862967946951,0.62,22
perm_android.permission.READ_PHONE_STATE,0.2880898561483444,0.65,22
perm_com.google.android.c2dm.permission.RECEIVE,0.24883686153842122,0.52,22
suspicious_getSubscriberId,0.24506214195326373,0.46,22
intent_com.google.android.c2dm.intent.RECEIVE,0.24220463646828375,0.51,22
suspicious_Ldalvik/system/PathClassLoader;,0.2362876664634313,0.51,22
perm_android.permission.GET_TASKS,0.2269653465703256,0.41,22
perm_android.permission.ACCESS_WIFI_STATE,0.21763142285547807,0.49,22
perm_android.permission.SYSTEM_ALERT_WINDOW,0.20187960221223566,0.43,22
perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.1898436099020982,0.37,22
suspicious_getCellLocation,0.17516532975141252,0.4,22
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.17142115295204677,0.31,22
intent_android.intent.action.PACKAGE_ADDED,0.1660286660112695,0.35,22
suspicious_Ljava/lang/System;->load,0.1541465416171475,0.33,22
suspicious_Ljava/lang/Runtime;->exec,0.14631753272605103,0.31,22
intent_android.intent.action.USER_PRESENT,0.14585232396600123,0.32,22
intent_android.net.conn.CONNECTIVITY_CHANGE,0.14303953664631527,0.36,22
suspicious_Ljava/lang/System;->loadLibrary,0.14266333662014527,0.3,22
perm_android.permission.WRITE_EXTERNAL_STORAGE,0.14072427553801278,0.31,22
intent_com.android.vending.INSTALL_REFERRER,0.13621666977005908,0.32,22
intent_com.google.firebase.INSTANCE_ID_EVENT,0.1348796452830646,0.34,22
perm_android.permission.ACCESS_COARSE_LOCATION,0.12616875838591496,0.26,22
perm_android.permission.VIBRATE,0.12362529664419286,0.25,22
perm_android.permission.READ_EXTERNAL_STORAGE,0.1217522800108283,0.25,22
perm_android.permission.ACCESS_FINE_LOCATION,0.12003067478232446,0.24,22
suspicious_Ldalvik/system/DexClassLoader;,0.1106073444606738,0.22,22
perm_com.android.vending.BILLING,0.10503702461800843,0.23,22
suspicious_getDeviceId,0.10068325999009863,0.21,22
suspicious_Base64,0.09750119623904867,0.18,22
intent_com.google.firebase.MESSAGING_EVENT,0.09694343989514956,0.28,22
intent_android.intent.action.VIEW,0.09424886734364839,0.17,22
perm_android.permission.CHANGE_WIFI_STATE,0.09385978209763453,0.22,22
perm_android.permission.SEND_SMS,0.09230934271786101,0.2,22
perm_android.permission.CAMERA,0.09088058997537102,0.16,22
perm_android.permission.WRITE_SETTINGS,0.09011347566686499,0.27,22
suspicious_system/bin/su,0.08800048630732495,0.16,22
suspicious_sendTextMessage,0.08735686106022039,0.19,22
perm_android.permission.SET_WALLPAPER,0.08574675433463676,0.21,22
intent_android.intent.action.BOOT_COMPLETED,0.08528951728081902,0.17,22
