cluster_size,threshold,seed,n_clusters,n_selected_total,n_selected_mean,n_selected_median,selected_unique,mean_reduction_ratio,weighted_reduction_ratio,mean_conditional_entropy,pct_clusters_top_k,pct_clusters_under_5,pct_clusters_zero_entropy,cluster_summary_path,selected_features_path
100,0.5,42,500,9587,19.174,30.0,285,0.006480838419637284,0.006480838419637284,0.20539156098662198,0.568,0.252,0.426,reports/entropy_knn/cluster_100/threshold_0.5/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_100/threshold_0.5/seed_42/selected_features_by_cluster.csv
100,0.6,42,500,10836,21.672,30.0,340,0.006480838419637284,0.006480838419637284,0.20539156098662198,0.68,0.216,0.426,reports/entropy_knn/cluster_100/threshold_0.6/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_100/threshold_0.6/seed_42/selected_features_by_cluster.csv
100,0.7,42,500,11715,23.43,30.0,379,0.006480838419637284,0.006480838419637284,0.20539156098662198,0.754,0.196,0.426,reports/entropy_knn/cluster_100/threshold_0.7/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_100/threshold_0.7/seed_42/selected_features_by_cluster.csv
100,0.8,42,500,12781,25.562,30.0,400,0.006480838419637284,0.006480838419637284,0.20539156098662198,0.836,0.132,0.426,reports/entropy_knn/cluster_100/threshold_0.8/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_100/threshold_0.8/seed_42/selected_features_by_cluster.csv
150,0.5,42,333,6000,18.01801801801802,30.0,275,0.007137383131134111,0.007137383131134113,0.23804073960947558,0.5375375375375375,0.3213213213213213,0.3003003003003003,reports/entropy_knn/cluster_150/threshold_0.5/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_150/threshold_0.5/seed_42/selected_features_by_cluster.csv
150,0.6,42,333,7049,21.16816816816817,30.0,313,0.007137383131134111,0.007137383131134113,0.23804073960947558,0.6696696696696697,0.26126126126126126,0.3003003003003003,reports/entropy_knn/cluster_150/threshold_0.6/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_150/threshold_0.6/seed_42/selected_features_by_cluster.csv
150,0.7,42,333,8048,24.16816816816817,30.0,340,0.007137383131134111,0.007137383131134113,0.23804073960947558,0.7807807807807807,0.18018018018018017,0.3003003003003003,reports/entropy_knn/cluster_150/threshold_0.7/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_150/threshold_0.7/seed_42/selected_features_by_cluster.csv
150,0.8,42,333,8556,25.693693693693692,30.0,349,0.007137383131134111,0.007137383131134113,0.23804073960947558,0.8378378378378378,0.13213213213213212,0.3003003003003003,reports/entropy_knn/cluster_150/threshold_0.8/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_150/threshold_0.8/seed_42/selected_features_by_cluster.csv
250,0.5,42,200,3985,19.925,30.0,283,0.006956981110084357,0.006956981110084356,0.24677692147142102,0.605,0.295,0.175,reports/entropy_knn/cluster_250/threshold_0.5/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_250/threshold_0.5/seed_42/selected_features_by_cluster.csv
250,0.6,42,200,4766,23.83,30.0,314,0.006956981110084357,0.006956981110084356,0.24677692147142102,0.76,0.17,0.175,reports/entropy_knn/cluster_250/threshold_0.6/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_250/threshold_0.6/seed_42/selected_features_by_cluster.csv
250,0.7,42,200,5111,25.555,30.0,340,0.006956981110084357,0.006956981110084356,0.24677692147142102,0.83,0.125,0.175,reports/entropy_knn/cluster_250/threshold_0.7/seed_42/cluster_summary.csv,reports/entropy_knn/cluster_250/threshold_0.7/seed_42/selected_features_by_cluster.csv
