cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_features_scored,max_reduction_ratio,mean_reduction_ratio,mean_conditional_entropy
0,27735,250,250,0,-0.0,1000,0.0,0.0,0.0
1,37855,250,180,70,0.8554508105601306,1000,0.44171021764179935,0.006339675757832501,0.8500275297944042
2,33455,250,246,4,0.11835001140827503,1000,0.4727321802870664,0.007662932007017109,0.1174431033178237
3,6751,250,214,36,0.5946193440950123,1000,0.40535850611084634,0.018168467664509413,0.5838160217691302
4,6786,250,234,16,0.3431229071320203,1000,0.3715557626107164,0.0010261099240835442,0.34277082531183173
5,26534,250,20,230,0.4021791902022728,1000,0.5021024669345053,0.011876585464466367,0.39740267467780566
6,38398,250,48,202,0.7056366064601749,1000,0.5013250603973617,0.010232711030406282,0.6984160309737913
7,49031,250,249,1,0.037622360322278434,1000,1.0,0.005834903434059187,0.03740283748283656
8,17533,250,249,1,0.037622360322278434,1000,0.44742939800141596,0.0048416438392823394,0.037440206253204815
9,45174,250,213,37,0.6048125901165883,1000,0.6377426118049868,0.01970358064542664,0.5928956164718565
10,42363,250,249,1,0.037622360322278434,1000,1.0,0.004365634293054789,0.03745811485586983
11,68780,250,248,2,0.06722154475830686,1000,0.6138009015408092,0.007505744011932474,0.06671699705126435
12,41625,250,247,3,0.09377790984777166,1000,0.3715037373249612,0.004602450912711841,0.09334630162100055
13,58945,250,248,2,0.06722154475830686,1000,1.0,0.007751528926761957,0.06670047500961122
14,57893,250,249,1,0.037622360322278434,1000,0.7873604970163787,0.003680566377653753,0.03748388872782828
15,29019,250,234,16,0.3431229071320203,1000,0.5650100984195866,0.02481165491298625,0.33460945996752
16,58454,250,248,2,0.06722154475830686,1000,0.41665969467350567,0.001915775581267983,0.0670927633643238
17,52429,250,250,0,-0.0,1000,0.0,0.0,0.0
18,58761,250,227,23,0.44311055824469103,1000,0.590284163005547,0.006599079014903243,0.4401864366584965
19,17004,250,250,0,-0.0,1000,0.0,0.0,0.0
20,64228,250,244,6,0.16334554318340233,1000,0.552549245781272,0.0046115889777017536,0.16259226067690105
21,61938,250,243,7,0.18426059333965514,1000,0.5107702965975223,0.010126276966212173,0.18239471953753922
22,5715,250,150,100,0.9709505944546686,1000,0.585857799595638,0.012228086090879426,0.9590777269956864
