cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,n_selected_features_raw,n_selected_features_analysis,threshold_pass_count,used_fallback,selection_mode,mean_reduction_ratio,mean_conditional_entropy
0,27735,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
1,37855,50,22,28,0.9895875212220556,3,3,3,3,False,threshold_top_k,0.009313464116582596,0.9803710333529363
2,33455,50,49,1,0.14144054254182067,2,2,2,2,False,threshold_top_k,0.009533839229779786,0.1400920711486541
3,6751,50,40,10,0.7219280948873623,2,2,2,2,False,threshold_top_k,0.029190929503617912,0.700854342762824
4,6786,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
5,26534,50,0,50,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
6,38398,50,1,49,0.14144054254182067,13,13,13,13,False,threshold_top_k,0.019532099542430806,0.13867791178555838
7,49031,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
8,17533,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
9,45174,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
10,42363,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
11,68780,50,49,1,0.14144054254182067,9,9,9,9,False,threshold_top_k,0.01314704068756213,0.13958101797415248
12,41625,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
13,58945,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
14,57893,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
15,29019,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
16,58454,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
17,52429,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
18,58761,50,49,1,0.14144054254182067,0,30,0,0,True,fallback_top_k,0.005865866079583394,0.14061087126104674
19,17004,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
20,64228,50,49,1,0.14144054254182067,5,5,5,5,False,threshold_top_k,0.008953351969684005,0.14017417558166068
21,61938,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
22,5715,50,22,28,0.9895875212220556,0,30,0,0,True,fallback_top_k,0.01283578012934703,0.976885393380904
23,54158,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
24,2600,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
25,12365,50,15,35,0.8812908992306927,0,30,0,0,True,fallback_top_k,0.005459421128808232,0.8764795610748065
26,12463,50,48,2,0.24229218908241482,0,30,0,0,True,fallback_top_k,0.002666607820666785,0.24164609083612126
27,72988,50,47,3,0.32744491915447627,0,30,0,0,True,fallback_top_k,0.01853920879749291,0.3213743494285932
28,41480,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
29,6894,50,46,4,0.4021791902022728,9,9,9,9,False,threshold_top_k,0.01982522762265031,0.3942058962114196
30,26041,50,49,1,0.14144054254182067,6,6,6,6,False,threshold_top_k,0.01522005054605266,0.13928781033507304
31,30616,50,47,3,0.32744491915447627,0,30,0,0,True,fallback_top_k,0.009722942053930511,0.32426119117968333
32,14186,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
33,58810,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
34,34379,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
35,32391,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
36,49614,50,49,1,0.14144054254182067,9,9,9,9,False,threshold_top_k,0.0115810074943968,0.13980251855863227
37,67794,50,49,1,0.14144054254182067,4,4,4,4,False,threshold_top_k,0.008293038309458085,0.14026757070401077
38,66445,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
39,21090,50,45,5,0.4689955935892812,5,5,5,5,False,threshold_top_k,0.013716610956813664,0.46256256349155717
40,24393,50,44,6,0.5293608652873644,0,30,0,0,True,fallback_top_k,0.007852725101674769,0.5252039399326779
41,12517,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
42,37877,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
43,64133,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
44,9465,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
45,5083,50,48,2,0.24229218908241482,4,4,4,4,False,threshold_top_k,0.007403315422109675,0.24049842358232434
46,52440,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
47,59687,50,41,9,0.6800770457282799,6,6,6,6,False,threshold_top_k,0.017346108583062528,0.6682803554482288
48,34661,50,34,16,0.9043814577244937,0,30,0,0,True,fallback_top_k,0.012165051176849255,0.8933796110078818
49,4369,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
50,17904,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
51,32593,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
52,22610,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
53,52240,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
54,20725,50,49,1,0.14144054254182067,11,11,11,11,False,threshold_top_k,0.019786842529065148,0.13864188079932013
55,49798,50,26,24,0.9988455359952018,0,30,0,0,True,fallback_top_k,0.015906323994360597,0.982957575279341
56,60270,50,49,1,0.14144054254182067,15,15,15,15,False,threshold_top_k,0.021100805741814777,0.13845603312962879
57,10467,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
58,45535,50,0,50,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
59,35155,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
60,55648,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
