suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_USER_PRESENT,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ljava_lang_Runtime___exec,n_activities,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_android_c2dm_intent_REGISTRATION,n_used_permissions,suspicious_getCellLocation,n_receivers,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_api_calls,perm_android_permission_CHANGE_CONFIGURATION,intent_com_android_vending_INSTALL_REFERRER,suspicious_Base64,n_permissions,intent_safiap_framework_ACTION_START_DOWNLOAD,label
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,16,0,0,22,0,5,0,95,53,0,0,1,28,0,0
1,0,0,0,0,0,0,1,0,2,1,1,1,0,1,1,24,0,0,13,1,7,0,103,30,0,1,1,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,14,16,0,0,1,3,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,77,0,0,8,0,1,0,52,20,0,0,1,7,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,42,0,1,12,0,3,0,126,45,0,0,1,7,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,10,0,1,11,0,4,0,29,21,0,0,1,10,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,18,0,0,9,0,2,0,37,25,0,0,1,7,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,8,0,0,10,0,3,1,37,27,0,1,1,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,6,0,0,0,36,15,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,6,0,0,6,0,3,1,131,8,0,1,1,5,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,14,0,0,11,0,5,1,69,20,0,1,1,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,10,0,0,0,33,22,0,0,1,2,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,22,0,0
1,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,18,1,0,18,1,4,0,168,64,0,1,1,32,0,0
0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,28,0,0,10,0,8,1,37,20,0,1,1,27,0,0
1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,8,1,0,8,1,3,0,72,19,0,0,1,15,0,0
0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,12,0,0,9,0,6,1,9,19,0,1,1,6,0,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,8,0,0,8,0,2,0,24,21,0,0,1,31,0,1
