suspicious_sendTextMessage,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_PACKAGE_ADDED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSubscriberId,n_providers,perm_android_permission_ACCESS_COARSE_LOCATION,n_services,intent_android_intent_action_DOWNLOAD_COMPLETE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_webkit_permission_PLUGIN,perm_android_permission_NFC,perm_android_permission_SEND_SMS,perm_android_permission_GET_PACKAGE_SIZE,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_net_wifi_WIFI_STATE_CHANGED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_android_vending_INSTALL_REFERRER,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RESTART_PACKAGES,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_KILL_BACKGROUND_PROCESSES,n_api_calls,label
0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0
0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
0,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,31,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0
1,0,0,0,0,0,0,1,0,0,2,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,1
0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0
0,0,1,1,0,0,1,1,0,1,0,0,5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,44,1
0,0,0,0,0,0,0,1,0,0,3,1,9,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,26,0
0,0,0,0,0,0,0,1,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,21,0
0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
0,0,0,0,0,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,17,0
0,1,0,1,0,1,0,1,0,0,7,1,9,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,24,0
