perm_android_permission_ACCESS_NETWORK_STATE,n_permissions,n_used_permissions,n_api_calls,suspicious_getSystemService,suspicious_Base64,n_urls,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,suspicious_Cipher,n_services,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_getDeviceId,perm_android_permission_ACCESS_COARSE_LOCATION,n_activities,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_VIEW,perm_android_permission_RECORD_AUDIO,perm_com_android_vending_BILLING,suspicious_sendTextMessage,perm_android_permission_MODIFY_AUDIO_SETTINGS,perm_android_permission_BROADCAST_SMS,intent_com_tencent_android_tpush_action_SDK,intent_cn_ngds_android_intent_alarm,perm_com_google_android_googleapps_permission_GOOGLE_AUTH_blogger,intent_com_kingroot_kinguser_action_update,perm_com_android_launcher_permission_INSTALL_SHORTCUT,label
1,6,3,4,1,1,32,1,1,1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,17,8,17,1,1,104,1,1,1,1,1,19,0,1,1,1,98,1,1,0,1,0,0,0,0,0,0,0,0,0
1,37,11,32,1,1,73,1,1,1,1,1,28,1,1,1,1,82,1,1,0,0,0,0,0,0,0,0,0,0,0
1,14,14,46,1,1,86,1,1,1,1,1,33,1,0,1,0,66,1,1,0,1,0,0,0,0,0,0,0,0,0
1,2,7,18,1,1,10,1,1,0,0,1,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,12,34,1,1,15,1,1,1,1,1,6,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,19,11,32,1,1,36,1,1,1,1,1,2,0,1,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,11,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,12,45,1,1,27,1,1,0,0,1,4,1,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0
1,9,6,12,1,1,22,1,1,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
