n_api_calls,suspicious_getExternalStorageDirectory,n_urls,n_activities,suspicious_getDeviceId,n_permissions,suspicious_Ldalvik_system_PathClassLoader_,n_providers,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_System___load,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_VIBRATE,n_used_permissions,n_services,n_receivers,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_SET_WALLPAPER,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,intent_com_google_android_c2dm_intent_REGISTRATION,intent_com_yuetu_shentu_Intent_WECHAT_AUTH,perm_android_permission_INTERACT_ACROSS_USERS_FULL,intent_com_taobao_accs_intent_action_START_FROM_AGOO,perm_android_permission_SEND_SMS,label
19,1,28,10,1,10,1,2,0,0,1,0,9,4,6,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1
21,1,27,33,1,11,1,2,0,1,1,0,9,6,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1
58,1,103,54,1,20,0,2,0,0,1,1,14,20,11,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
23,1,33,3,1,5,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,1,20,4,1,3,1,0,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,24,7,1,6,1,1,0,0,1,0,9,4,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,0,0,9,0,43,0,0,1,0,0,1,0,11,7,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
12,1,28,13,1,18,1,2,0,0,1,0,8,8,14,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1
0,0,0,14,0,23,0,2,1,1,1,1,0,11,5,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
41,1,185,30,1,9,1,5,0,1,1,0,16,17,8,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
21,1,30,9,1,5,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,3,3,0,24,1,1,0,0,1,1,7,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,19,4,0,4,1,0,0,1,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,15,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
29,1,45,6,1,7,0,0,0,1,1,1,9,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
7,1,31,4,1,5,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
