perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,n_api_calls,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_yuetu_shentu_Intent_WECHAT_SHARE,perm_android_permission_SEND_SMS,perm_android_permission_RECORD_AUDIO,perm_android_permission_SET_DEBUG_APP,intent_com_yuetu_shentu_Intent_WECHAT_PAY,perm_android_permission_REQUEST_INSTALL_PACKAGES,intent_com_yuetu_shentu_Intent_WECHAT_AUTH,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_CHANGE_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_BLUETOOTH,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_System___loadLibrary,suspicious_getWifiState,n_urls,n_providers,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,label
0,1,0,19,13,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,79,1,0,0,0
0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0
1,0,0,13,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,49,3,0,1,0
0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,159,5,0,1,0
0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,2,0,0,0
0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,108,1,0,0,0
1,0,0,25,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,47,0,0,0,0
1,1,0,0,29,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,18,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,20,0,0,1,0
1,0,0,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,32,0,0,1,0
