perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,intent_android_intent_action_PACKAGE_REMOVED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_SEND_SMS,perm_com_google_android_c2dm_permission_RECEIVE,n_receivers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_LOGS,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECEIVE_SMS,suspicious_getCellLocation,suspicious_sendTextMessage,perm_android_permission_READ_SMS,perm_android_permission_INSTALL_PACKAGES,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,n_services,n_providers,intent_com_android_vending_INSTALL_REFERRER,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,1,10,5,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,1,16,5,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,1,10,1,1,0
0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,1,0,1,0,0,1,0,1,1,13,7,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,9,2,0,0
1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,6,1,0,0
