n_permissions,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_services,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_Runtime___exec,suspicious_sendTextMessage,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PHONE_STATE,perm_android_permission_SEND_SMS,n_receivers,intent_android_intent_action_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_READ_LOGS,intent_android_intent_action_USER_PRESENT,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,n_api_calls,intent_android_provider_Telephony_SMS_RECEIVED,perm_android_permission_INSTALL_PACKAGES,intent_com_amir_nightjar_service_BUFFER_SERVICES,intent_com_amir_nightjar_service_CONFIG_SERVICES,n_activities,n_urls,perm_android_permission_DELETE_PACKAGES,intent_android_intent_action_MAIN,suspicious_Base64,perm_android_permission_RECEIVE_SMS,label
38,1,1,3,1,1,0,0,1,1,0,0,2,0,0,1,1,0,1,31,0,0,0,0,9,23,0,1,1,0,0
4,0,0,8,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,27,0,0,0,0,13,42,0,1,1,0,0
11,0,0,7,0,0,0,0,0,1,1,0,10,1,1,0,0,0,1,23,0,0,0,0,8,38,0,1,1,0,0
23,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,2,3,0,1,1,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,11,37,0,1,1,0,0
14,0,1,2,1,1,0,0,1,0,0,0,5,0,0,1,1,0,0,40,0,0,0,0,40,17,0,1,1,0,0
43,0,1,16,1,0,0,1,1,1,0,1,8,1,1,0,1,0,1,0,1,0,0,0,9,0,0,1,0,1,1
27,0,0,8,0,1,0,0,1,1,0,0,4,1,1,0,0,0,0,18,0,0,0,0,12,20,0,1,1,0,0
10,0,1,14,0,0,1,0,1,1,0,0,10,1,0,0,0,0,0,35,0,0,0,0,13,27,0,1,1,0,0
37,0,1,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,4,0,0,0,0,84,3,0,1,1,0,0
7,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,29,25,0,1,1,0,0
10,0,0,11,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,19,0,0,0,0,19,77,0,1,1,0,1
29,0,1,8,0,1,0,0,0,1,1,0,12,1,1,0,0,0,0,24,0,0,0,0,13,28,0,1,1,0,0
13,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,40,0,0,0,0,52,31,0,1,1,0,1
13,0,1,7,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,29,0,0,0,0,21,33,0,1,1,0,0
12,0,0,16,0,1,1,0,1,1,0,0,9,0,1,0,0,0,0,28,0,0,0,0,113,70,0,1,1,0,0
15,0,0,3,0,0,0,0,0,1,0,0,6,1,1,0,0,0,0,29,0,0,0,0,8,17,0,1,1,0,0
7,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,0,0,0,0,199,30,0,1,1,0,0
5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,24,0,0,0,0,14,36,0,1,1,0,0
30,0,1,3,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,26,0,0,0,0,4,6,0,1,1,0,0
13,0,0,24,0,0,0,0,1,1,1,0,9,1,1,0,0,0,0,35,0,0,0,0,14,48,0,1,1,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,7,17,0,1,1,0,0
58,1,1,61,0,1,0,1,1,1,0,0,25,1,1,0,1,1,1,59,0,0,0,0,183,305,0,1,1,0,0
10,0,0,4,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,20,0,0,0,0,7,47,0,1,1,0,0
13,0,1,4,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,18,0,0,0,0,20,19,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17,0,0,0,0,2,33,0,1,1,0,0
42,0,1,13,1,0,0,1,1,1,0,1,7,1,1,0,1,0,1,0,1,0,0,0,7,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
8,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,22,0,0,0,0,19,26,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,0,0,0,0,3,1,0,1,0,0,0
