n_urls,n_api_calls,n_used_permissions,perm_android_permission_READ_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Cipher,suspicious_Base64,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,suspicious_system_bin_su,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getPackageInfo,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getExternalStorageDirectory,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSystemService,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_REMOVED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getDeviceId,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_SEARCH,label
21,17,6,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
26,19,10,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,23,0,0,0,5,1,1,0,1,0,0
105,47,13,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,8,0,0,0,4,1,1,0,0,0,0
64,22,8,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,9,0,0,0,2,1,1,0,0,0,0
0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,0,0,0,1,1,1,0,0,0,0
73,33,14,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,20,0,0,0,13,1,1,1,0,0,0
8,5,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
34,21,8,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,0,2,0,1,0,0,0,0
70,36,17,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,26,0,0,0,14,0,1,1,1,0,0
60,18,10,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,10,0,0,0,11,1,1,1,1,1,0
32,19,9,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,8,0,0,0,0,1,1,0,0,0,0
44,44,18,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,11,0,0,0,7,1,1,0,0,0,0
