perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,suspicious_Ljava_lang_Runtime___exec,perm_com_android_launcher_permission_READ_SETTINGS,suspicious_getSubscriberId,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_CHANGE_CONFIGURATION,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_CREATE_SHORTCUT,intent_android_intent_action_USER_PRESENT,suspicious_sendTextMessage,perm_android_permission_CHANGE_WIFI_STATE,n_providers,intent_android_intent_action_PACKAGE_REPLACED,intent_android_intent_action_ACTION_SHUTDOWN,perm_android_permission_GET_PACKAGE_SIZE,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Base64,n_api_calls,label
0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,21,1
1,1,0,0,1,41,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,4,0,1,0,0,1,0,1,41,0
1,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,14,1
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,0
0,1,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,39,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,4,0
0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,20,0
0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,19,0
0,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,1,28,0
0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,28,0
0,1,1,1,1,27,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,14,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,32,1
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0
0,0,0,0,1,16,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,1,0,1,1,1,1,27,0
0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,32,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,23,1
0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,0
0,1,0,0,1,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,1,20,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,19,0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,19,1
0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,33,0
0,1,0,0,0,8,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,20,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,18,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,28,0
