suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_permissions,n_api_calls,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_Runtime___exec,intent_com_yuetu_shentu_Intent_WECHAT_AUTH,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_SET_DEBUG_APP,intent_com_yuetu_shentu_Intent_WECHAT_SHARE,intent_com_yuetu_shentu_Intent_WECHAT_PAY,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_REQUEST_INSTALL_PACKAGES,perm_android_permission_SEND_SMS,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECORD_AUDIO,suspicious_Ljava_lang_System___loadLibrary,suspicious_getCellLocation,suspicious_getWifiState,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_DexClassLoader_,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_INSTALL_PACKAGES,perm_android_permission_BLUETOOTH,n_urls,n_activities,label
1,1,33,24,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,163,125,0
0,0,9,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,51,19,0
0,0,27,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,62,32,0
0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,5,0
0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,3,0
0,1,13,64,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,90,19,1
0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,55,6,0
1,1,15,37,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,37,29,1
1,1,44,38,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,159,182,0
0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,24,23,1
