intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_GET_TASKS,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_QUICKBOOT_POWERON,suspicious_getSubscriberId,n_services,intent_com_google_firebase_INSTANCE_ID_EVENT,n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_VIEW,intent_android_app_action_DEVICE_ADMIN_ENABLED,intent_cryopiggy_start,n_used_permissions,n_activities,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,n_urls,label
0,0,1,0,0,0,0,1,1,0,1,1,0,0,13,1,6,0,0,0,0,0,0,1,0,0,5,22,1,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,14,0,0,0,0,0,0,0,0,0,6,13,0,11,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,2,0,7,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,1,21,0,1,0,0,0,0,0,0,0,8,12,0,39,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,9,7,0,20,0
0,0,0,0,0,1,1,1,1,1,1,1,0,0,7,1,11,0,1,0,0,0,0,0,0,0,7,34,0,8,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,12,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,9,1,31,1,0,0,0,0,0,0,0,0,8,4,0,75,0
1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,16,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,7,4,0,42,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,7,1,24,0,1,0,0,0,0,1,0,0,8,13,1,30,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,6,1,0,23,1
0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,42,0,1,0,0,0,0,0,0,0,12,20,0,56,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,5,0,12,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,17,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,20,0,1,0,0,0,0,1,0,0,7,4,0,11,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,9,0,30,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,8,0,20,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,15,0,0,0,0,0,0,0,0,0,6,115,0,32,0
0,0,0,0,0,1,0,2,1,0,1,0,1,0,4,0,32,0,0,0,0,0,0,0,0,0,10,18,0,41,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,14,10,0,60,0
0,0,1,0,1,1,1,1,0,0,0,0,1,1,13,0,64,1,0,0,0,1,0,1,0,0,16,148,0,178,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,5,4,0,22,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,8,22,0,115,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,8,9,0,20,0
0,0,0,0,0,0,0,4,1,1,1,1,0,1,8,1,31,0,0,0,0,0,0,1,0,0,15,63,0,44,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,10,5,0,34,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,22,0,0,0,0,1,0,0,0,0,9,25,0,67,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,9,4,0,1,0
1,0,0,0,1,1,1,0,0,0,0,0,0,1,14,0,46,1,0,0,0,0,0,1,0,0,12,56,0,192,0
0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,1,17,0,1,0,0,0,0,0,0,0,11,13,0,32,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,6,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,6,4,0,37,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,9,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,6,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,11,6,0,38,1
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,8,65,0,64,0
0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,12,13,0,30,0
0,0,0,0,0,1,0,6,1,1,1,1,0,0,8,0,32,0,1,0,0,0,0,0,0,0,15,37,0,46,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,1,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,19,0,1,0,0,0,0,0,0,0,9,11,0,61,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,1,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,20,0,41,1,0,0,0,1,1,0,0,0,9,12,0,201,0
0,0,1,0,0,1,0,9,1,1,1,1,0,0,15,1,20,0,1,1,1,0,1,1,0,0,11,32,0,78,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,11,3,0,42,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,2,0,13,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,7,0,44,0
