intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_PACKAGE_ADDED,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSubscriberId,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_ACTION_POWER_CONNECTED,n_activities,perm_android_permission_READ_PHONE_STATE,perm_android_permission_RESTART_PACKAGES,perm_android_permission_READ_LOGS,intent_com_igexin_sdk_action_refreshls,intent_co_ronash_pushe_RECEIVE,intent_co_ronash_pushe_service_ScreenStateService,intent_com_evernote_android_job_ADD_JOB_CREATOR,perm_android_permission_RECORD_AUDIO,n_providers,n_urls,n_api_calls,suspicious_getCellLocation,perm_android_permission_WRITE_CALENDAR,suspicious_sendTextMessage,label
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,14,18,0,0,0,0
0,0,0,8,1,0,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,78,53,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,13,18,0,0,0,1
0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,34,23,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,33,6,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,1,20,17,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,21,0,0,0,1
0,0,0,7,1,0,0,0,0,1,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,61,31,0,0,0,0
0,0,0,17,1,0,1,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,57,22,0,0,0,0
0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24,19,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,17,21,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0
