suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_LOGS,intent_android_intent_action_PACKAGE_ADDED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_urls,suspicious_Ljava_lang_Runtime___exec,suspicious_getCellLocation,perm_android_permission_INSTALL_PACKAGES,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_RESTART_PACKAGES,suspicious_Ljava_lang_System___loadLibrary,suspicious_adb_enabled,intent_android_net_conn_CONNECTIVITY_CHANGE,n_providers,perm_android_permission_KILL_BACKGROUND_PROCESSES,n_services,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,intent_co_ronash_pushe_ACTION_TASK_READY,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,label
0,1,0,0,0,0,0,0,28,1,44,1,0,0,0,1,1,0,0,1,0,1,6,0,16,0,0,0,1,1,0
0,0,0,1,0,0,0,0,8,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
0,1,0,0,0,0,0,1,9,1,165,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,26,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,11,1,12,0,0,0,0,0,1,0,0,0,0,1,1,0,6,0,0,0,1,1,0
0,0,0,1,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,1,0
0,0,0,1,0,0,0,0,8,1,105,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0
0,1,0,1,0,0,0,1,9,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0
0,0,0,1,0,0,0,0,9,1,15,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,44,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,1,0
0,1,0,0,0,0,0,0,8,1,41,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28,1,29,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,9,1,66,0,0,0,0,1,1,0,0,1,0,0,1,0,10,0,0,0,1,1,0
1,0,1,1,0,1,0,1,16,1,127,1,1,0,1,1,0,0,0,1,0,1,3,0,5,0,0,0,1,1,1
0,0,0,0,0,0,0,1,13,0,183,0,0,0,0,1,1,0,0,1,0,0,4,0,18,0,0,0,1,1,0
0,0,0,0,0,0,0,0,8,0,73,0,1,0,0,1,1,0,0,1,0,0,3,0,8,0,0,0,1,1,0
1,1,1,1,1,0,1,0,15,1,22,1,0,0,0,1,0,1,0,1,0,0,0,0,3,1,1,0,0,0,0
0,1,0,1,0,0,0,0,10,1,94,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,11,1,25,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
0,1,1,0,0,0,0,0,9,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0,34,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,26,1,186,1,1,0,1,1,0,1,1,1,0,1,0,0,3,1,0,0,0,0,0
0,0,0,1,0,0,0,0,10,0,89,1,0,0,0,1,1,0,0,1,0,0,2,0,5,0,0,0,0,1,0
0,0,0,0,0,0,0,0,10,1,48,0,0,0,0,1,1,0,0,1,0,0,3,0,9,0,0,0,1,1,0
0,0,0,1,0,1,0,0,6,1,128,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,14,1,98,0,1,0,0,1,0,0,0,1,0,1,2,0,6,0,0,0,0,1,0
1,1,1,1,0,0,1,1,38,1,75,1,1,0,0,1,1,1,0,1,0,1,0,0,10,1,1,0,0,0,0
0,0,0,1,0,0,0,0,22,1,27,0,0,0,0,1,1,0,0,1,0,0,2,0,8,0,0,0,0,1,0
0,0,0,0,0,0,0,0,4,1,43,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,5,0,29,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,1,39,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0
0,0,0,1,0,0,0,0,20,1,64,0,1,0,0,1,1,0,0,1,1,0,2,0,9,0,0,0,1,1,0
0,0,0,1,0,0,0,0,8,1,45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,1,59,1,0,0,0,1,1,0,0,1,0,0,4,0,9,0,0,0,1,1,0
1,1,1,1,1,1,1,1,80,1,32,1,0,1,1,1,1,0,0,1,1,1,0,1,12,0,0,0,0,1,0
0,0,0,0,0,0,0,0,6,0,22,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0
0,0,0,0,0,0,0,0,5,0,28,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,1,1,0
0,0,0,1,0,0,0,0,10,1,41,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0
1,0,0,0,0,0,0,0,14,1,121,1,1,0,0,1,1,0,0,1,1,0,5,0,9,0,0,0,1,1,0
0,1,0,0,0,0,0,0,14,1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1
0,1,0,1,0,0,0,0,11,1,55,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,3,0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,0,1,0,0,0,0,10,1,45,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
1,1,0,1,0,1,0,1,19,1,75,1,1,0,1,1,0,1,0,1,0,1,3,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,9,1,26,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0
0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
