n_urls,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_inmobi_share_id,suspicious_getCellSignalStrength,suspicious_system_bin_su,perm_android_permission_READ_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,n_providers,n_services,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ljava_lang_System___load,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_api_calls,n_activities,suspicious_getSimCountryIso,perm_com_google_android_providers_gsf_permission_READ_GSERVICES,perm_com_android_vending_BILLING,n_used_permissions,n_permissions,n_receivers,intent_com_google_android_c2dm_intent_REGISTRATION,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,perm_android_permission_VIBRATE,intent_com_google_android_gms_iid_InstanceID,label
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,7,4,0,0,0,0,0,0
38,0,0,0,0,0,0,1,1,6,0,1,1,0,1,0,0,0,18,16,0,0,1,7,8,8,0,0,0,0,0
42,0,0,0,0,0,1,1,1,5,0,0,1,0,0,0,1,0,18,27,0,0,0,9,7,4,0,1,0,0,0
325,1,1,0,1,1,1,1,22,42,1,1,0,1,1,1,0,0,54,144,1,0,1,23,119,28,1,0,1,0,0
53,0,0,0,0,0,0,0,2,6,1,0,1,1,0,0,0,0,74,26,0,0,1,13,24,6,1,0,1,1,0
95,1,0,0,1,0,1,0,2,7,1,0,0,1,1,0,0,0,50,41,1,0,0,15,11,4,1,0,0,1,1
34,0,0,0,0,0,0,1,3,7,0,1,1,0,0,0,0,1,14,19,1,0,1,7,10,4,0,0,0,0,0
3,0,0,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,26,5,0,0,0,6,24,7,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,1,0,1
124,1,1,0,1,0,1,0,3,5,1,1,0,1,1,1,0,0,66,16,0,0,0,16,28,4,0,0,1,0,0
13,0,0,0,0,0,1,1,2,7,1,0,0,1,0,0,0,0,23,69,0,1,0,12,12,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
53,0,0,0,0,0,0,1,3,7,1,0,1,1,0,0,1,1,29,18,0,1,1,12,8,5,0,1,0,0,0
61,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,14,15,0,0,0,7,8,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0,5,3,0,0,0,0,0,0
38,0,1,0,0,1,1,1,0,2,1,1,0,1,1,0,0,0,30,13,1,0,0,9,9,2,0,0,1,0,0
29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,3,0,0,1,5,3,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,5,7,0,0,0,1,0,0
26,0,0,0,0,0,1,0,0,3,1,1,0,1,1,0,0,0,17,10,0,0,0,7,16,6,0,0,1,1,0
5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,2,0,0,0,5,12,0,0,0,0,0,0
36,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,0,0,7,4,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,0,5,0,0,0,0,12,2,0,0,0,0,0
5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,23,13,0,0,0,9,5,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,16,1,0,0,0,7,5,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,43,4,0,0,0,13,3,0,0,0,0,0,0
23,0,0,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,15,17,0,1,0,6,15,5,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,0,0,0,2,1,0,0,0,0,0,0
41,0,0,0,0,0,1,1,3,10,0,1,1,0,1,0,1,1,25,9,0,0,0,15,33,13,0,0,1,0,0
12,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,1,0,18,8,0,0,0,9,5,3,0,0,0,0,0
55,0,0,0,0,0,0,1,1,9,0,1,0,0,1,0,0,0,24,13,0,0,0,10,25,4,0,0,1,0,0
123,1,0,0,0,0,1,1,2,15,1,0,1,1,0,0,0,0,29,27,0,1,0,11,12,5,1,0,1,1,1
18,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,16,4,0,0,1,8,3,0,0,0,0,0,0
21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20,3,0,0,0,8,2,1,0,0,0,0,0
43,0,0,0,0,0,1,0,1,10,0,0,1,0,0,0,1,0,19,14,0,0,1,8,12,6,1,1,0,0,0
14,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,16,4,0,0,0,7,2,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,8,0,0,0,3,1,1,0,0,0,0,0
48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,34,4,1,0,0,15,4,0,0,0,0,0,0
51,0,0,0,0,0,0,1,5,17,1,1,1,1,1,0,1,1,24,47,0,0,0,12,13,8,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,6,2,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,9,1,0,0,4,3,1,0,0,0,0,0
46,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,17,8,0,0,1,7,8,4,1,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,5,2,0,0,0,0,0,0
205,1,1,0,1,1,1,1,7,19,1,1,0,1,1,1,0,0,38,86,1,0,0,15,33,19,0,0,1,0,0
23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,3,0,0,0,8,9,2,1,0,1,0,0
31,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,1,0,19,7,0,0,1,9,7,4,0,1,0,0,0
56,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,0,0,0,0,9,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,7,0,0,0,0,10,6,0,0,0,0,0
11,0,0,0,0,0,0,1,3,8,0,0,1,0,0,0,0,0,9,6,0,0,0,6,9,3,0,0,1,0,0
8,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,12,1,0,0,0,5,2,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,1,0,12,39,1,0,1,7,15,5,1,0,0,0,0
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,7,2,0,0,0,0,0,0
36,0,0,0,0,0,0,1,1,8,0,0,1,0,0,0,1,1,27,13,0,0,0,14,8,5,1,0,1,0,0
98,1,0,0,1,0,1,0,2,6,1,1,0,1,1,0,0,0,46,38,1,0,0,14,10,4,1,0,0,1,0
75,0,1,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,43,18,1,0,1,12,18,1,0,0,0,0,0
35,0,0,0,0,0,0,1,1,10,0,1,1,0,1,0,0,0,10,18,0,0,1,8,13,9,1,0,1,1,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,2,0,0,0,8,20,2,0,0,0,0,0
72,0,0,0,0,1,0,1,1,11,1,0,1,1,0,0,1,1,24,10,1,0,1,11,15,4,0,0,1,0,0
13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,19,23,0,0,0,10,8,0,0,0,0,0,0
88,0,0,0,0,1,0,1,3,4,1,0,0,1,0,0,0,0,22,32,1,0,1,9,12,4,0,0,1,1,0
42,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,24,12,0,0,0,9,7,1,0,0,0,0,0
0,0,1,0,0,0,1,0,2,10,1,1,0,1,1,1,0,0,0,16,0,0,0,0,49,2,0,0,1,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,5,2,0,0,0,0,0,0
67,1,0,0,1,0,0,1,1,16,1,1,1,1,1,0,1,1,38,39,0,0,1,16,29,8,0,0,1,0,0
