n_permissions,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_activities,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,n_urls,n_api_calls,n_used_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSystemService,suspicious_getPackageInfo,suspicious_Base64,n_receivers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_accessibilityservice_AccessibilityService,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getDeviceId,label
13,0,1,0,11,0,5,67,31,9,1,1,1,1,7,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
3,0,0,0,6,0,0,32,24,7,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
28,0,0,1,12,0,15,52,6,5,1,1,1,1,8,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0
32,0,1,0,9,0,4,31,17,7,1,1,1,1,7,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0
7,0,1,0,15,0,0,54,23,9,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
12,0,1,0,18,0,10,43,12,6,1,1,1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
12,0,0,0,62,0,9,28,21,9,1,1,1,1,5,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
4,0,0,0,7,0,0,15,20,8,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
5,0,1,0,3,0,0,3,12,5,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,0,4,0,0,17,13,6,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,0,0,0,11,0,0,26,34,10,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
15,1,1,0,11,0,8,28,23,10,1,1,1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
13,0,1,0,42,0,13,148,29,12,1,1,1,1,7,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
2,0,0,0,5,0,0,8,7,5,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
10,0,0,0,8,0,6,31,22,11,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
8,0,1,0,7,0,5,13,8,5,0,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,12,0,0,34,32,12,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,0,57,0,13,132,48,20,1,1,1,1,7,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
2,0,0,0,7,0,1,30,13,6,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,0,0,0,9,0,6,32,18,7,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
5,0,0,0,8,0,0,61,28,12,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
7,0,0,0,26,0,11,36,21,10,0,1,1,1,6,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0
8,0,1,0,2,0,0,2,19,8,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
9,0,1,0,15,0,2,46,21,7,1,1,1,1,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
10,0,1,0,9,0,4,25,25,8,1,1,1,1,5,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
4,0,0,0,6,0,0,39,29,12,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10,0,0,1,17,0,7,54,30,11,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
10,0,0,0,6,0,10,49,8,6,0,1,1,1,5,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,0,1265,0,489,7,3,3,1,1,1,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
9,0,1,0,22,0,2,56,42,11,1,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
47,1,1,1,43,0,34,61,21,10,1,1,1,1,16,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0
26,0,1,1,53,0,7,0,0,0,1,0,0,0,4,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
14,0,1,1,15,0,9,89,31,12,1,1,1,1,7,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
6,0,1,1,3,0,0,6,24,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0,0,0,6,0,2,46,31,10,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
5,0,0,0,23,0,2,22,38,11,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
3,0,0,0,8,0,1,28,21,9,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,0,0,0,43,0,5,47,29,10,1,1,1,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
