perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_launcher3_permission_READ_SETTINGS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_app_action_DEVICE_ADMIN_ENABLED,intent_android_intent_action_CREATE_SHORTCUT,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,perm_com_android_alarm_permission_SET_ALARM,intent_android_net_wifi_supplicant_CONNECTION_CHANGE,perm_com_android_launcher_permission_READ_SETTINGS,intent_android_intent_action_DELETE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,intent_android_net_wifi_STATE_CHANGE,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_PACKAGE_FULLY_REMOVED,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_providers,n_services,n_used_permissions,label
0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,13,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,7,0
