perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_permissions,suspicious_getSubscriberId,perm_android_permission_WRITE_SETTINGS,suspicious_getCellLocation,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_READ_LOGS,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_Runtime___exec,n_providers,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,n_api_calls,perm_android_permission_READ_SMS,suspicious_system_bin_su,perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_BROADCAST_STICKY,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,label
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,24,0,0,0,0,0,0,1
0,0,6,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0
1,0,19,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,52,0,0,0,0,1,0,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,31,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
