n_api_calls,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_providers,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sec_android_provider_badge_permission_READ,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_android_vending_INSTALL_REFERRER,n_receivers,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_android_permission_RECEIVE_SMS,n_permissions,n_services,perm_android_permission_WRITE_SMS,label
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,4,2,0,0
16,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,4,1,1,0,20,5,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
46,1,1,1,1,1,1,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,4,0,0,0,27,5,0,0
22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
19,0,0,0,0,0,0,1,1,1,1,5,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,7,18,0,0
17,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0
6,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,0,0,0,21,3,0,0
22,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,5,5,0,0
26,1,1,1,0,0,0,1,1,1,1,2,0,0,1,1,0,0,1,0,0,0,1,9,0,0,0,17,13,0,0
19,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,5,5,0,0
64,1,1,1,1,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,22,0,0,0,50,14,0,0
12,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,5,0,0
26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
15,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,7,3,0,0
